best_epoch,best_test_loss,final_delta_mse_norm,fly_error_mean_km,k,kind,mean_error_km,median_error_km,migration100_error_mean_km,migration50_error_mean_km,model,model_family,n_layers,p90_error_km,p95_error_km,params,runtime_seconds,setup,setup_fly_threshold_km,stationary_error_mean_km,test_fly_rate,test_samples,train_fly_rate,train_samples
7,1.0118317051396537,1.0118317051396537,78.83565382841991,7,direct_transformer,14.274545749690585,3.393367978676742,96.57695266547712,85.63335244676999,direct_transformer_2l_k7,direct,2,42.71279991782659,73.72902169497426,408964,21.788283348083496,setup_30km,30.0,6.907212095060814,0.10242587327957153,1484,0.1335916370153427,5936
5,1.2850584427398275,1.2850584427398275,78.0894468173427,14,direct_transformer,17.997934694275028,5.6901008442587555,99.74452267801782,83.42578259590567,direct_transformer_2l_k14,direct,2,51.870697438876746,81.51231870934316,409860,18.38329529762268,setup_30km,30.0,10.56753195042682,0.11004431545734406,1354,0.1276084929704666,5415
16,1.593415385473678,1.593415385473678,83.42587035878118,30,direct_transformer,16.326040345787863,4.981664223752452,111.41495433396157,91.93875220300542,direct_transformer_2l_k30,direct,2,46.23775820331507,80.65821171813832,411908,21.88066792488098,setup_30km,30.0,8.03436872424456,0.10998151451349258,1082,0.11552680283784866,4328
17,0.9930513525216347,0.9930513525216347,81.98958137808206,1,direct_mlp_last,14.341497833291358,3.705290085413627,109.21153872933226,90.46299049628546,direct_mlp_last_day_k1,direct,0,41.45636946891305,72.70787373290777,16226,18.048889875411987,setup_30km,30.0,6.882026181212439,0.09931719303131104,1611,0.13584847748279572,6441
3,1.8015617927649987,1.8015617927649987,88.62028340462689,30,direct_mlp_sequence,18.586050673238304,5.975712751993324,118.38854543081526,95.91416771362401,direct_mlp_sequence_k30,direct,0,53.49648411692534,91.12696708464253,83042,8.245775938034058,setup_30km,30.0,9.931768539245322,0.10998151451349258,1082,0.11552680283784866,4328
7,1.0118317051396537,1.0118317051396537,65.4064701739166,7,direct_transformer,14.274545749690585,3.393367978676742,96.57695266547712,85.63335244676999,direct_transformer_2l_k7,direct,2,42.71279991782659,73.72902169497426,408964,22.41857075691223,setup_10km,10.0,5.611532549368605,0.14487870037555695,1484,0.19204851984977722,5936
5,1.2850584427398275,1.2850584427398275,65.37336569658001,14,direct_transformer,17.997934694275028,5.6901008442587555,99.74452267801782,83.42578259590567,direct_transformer_2l_k14,direct,2,51.870697438876746,81.51231870934316,409860,19.245479345321655,setup_10km,10.0,9.301395786509248,0.15509600937366486,1354,0.18707294762134552,5415
16,1.593415385473678,1.593415385473678,66.73622140130604,30,direct_transformer,16.326040345787863,4.981664223752452,111.41495433396157,91.93875220300542,direct_transformer_2l_k30,direct,2,46.23775820331507,80.65821171813832,411908,24.810412406921387,setup_10km,10.0,6.929405719211012,0.15711645781993866,1082,0.17791128158569336,4328
17,0.9930513525216347,0.9930513525216347,64.51159748980898,1,direct_mlp_last,14.341497833291358,3.705290085413627,109.21153872933226,90.46299049628546,direct_mlp_last_day_k1,direct,0,41.45636946891305,72.70787373290777,16226,17.727890968322754,setup_10km,10.0,6.028217933622376,0.1421477347612381,1611,0.1946902722120285,6441
3,1.8015617927649987,1.8015617927649987,71.22722171585409,30,direct_mlp_sequence,18.586050673238304,5.975712751993324,118.38854543081526,95.91416771362401,direct_mlp_sequence_k30,direct,0,53.49648411692534,91.12696708464253,83042,8.541696548461914,setup_10km,10.0,8.773551685031418,0.15711645781993866,1082,0.17791128158569336,4328
