best_epoch,best_test_loss,distance_weight_bins,distance_weight_max_test,distance_weight_max_train,distance_weight_mean_test,distance_weight_mean_train,distance_weight_scope,distance_weighted_training,feature_mode,final_test_loss,final_unweighted_test_loss,fixed_0_5_fly_accuracy,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_fn,fixed_0_5_fly_fp,fixed_0_5_fly_pr_auc,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_roc_auc,fixed_0_5_fly_specificity,fixed_0_5_fly_threshold,fixed_0_5_fly_tn,fixed_0_5_fly_tp,fly_accuracy,fly_error_mean_km,fly_f1,fly_false_positive_rate,fly_fn,fly_fp,fly_pr_auc,fly_precision,fly_recall,fly_roc_auc,fly_specificity,fly_threshold,fly_tn,fly_tp,gated_fly_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_migration100_error_mean_km,gated_migration50_error_mean_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,k,kind,mean_error_km,median_error_km,migration100_error_mean_km,migration50_error_mean_km,model,model_family,n_layers,p90_error_km,p95_error_km,params,pos_weight,raw_pos_weight,runtime_seconds,setup,setup_fly_threshold_km,stationary_error_mean_km,test_fly_rate,test_samples,train_fly_rate,train_samples
9,2.122807622919828,"[{'min_km': 0.0, 'max_km': 5.0, 'weight': 1.0}, {'min_km': 5.0, 'max_km': 30.0, 'weight': 2.0}, {'min_km': 30.0, 'max_km': 100.0, 'weight': 4.0}, {'min_km': 100.0, 'max_km': None, 'weight': 8.0}]",8.0,8.0,1.6684635877609253,1.8084568977355957,triline_distance_and_direction_losses,True,full,2.122807622919828,2.0525504122525855,0.889487870619946,0.6597510373443983,0.0851063829787234,56,108,0.7029171410557336,0.5955056179775281,0.7395348837209302,0.89102571151062,0.9148936170212766,0.5,1161,159,0.921832884097035,68.2471654743507,0.7025641025641025,0.029944838455476755,78,38,0.7029171410557336,0.7828571428571428,0.6372093023255814,0.89102571151062,0.9700551615445232,0.8384315947815775,1231,137,69.18439369307751,13.084461204707775,0.8078201806387191,121.61312526882696,93.059325080548,47.27158785173841,77.59500147586654,3.5797445104607375,7,triline_transformer,14.430927865716816,2.2092823666344,120.46703727767878,91.27617091340227,triline_transformer_2l_k7,triline,2,46.91271606239664,77.08240018271988,426118,4.207017543859649,4.207017543859649,38.15095663070679,setup_10km,10.0,5.313125591598393,0.14487870037555695,1484,0.19204851984977722,5936
13,2.230964875467771,"[{'min_km': 0.0, 'max_km': 5.0, 'weight': 1.0}, {'min_km': 5.0, 'max_km': 30.0, 'weight': 2.0}, {'min_km': 30.0, 'max_km': 100.0, 'weight': 4.0}, {'min_km': 100.0, 'max_km': None, 'weight': 8.0}]",8.0,8.0,1.7082717418670654,1.7702677249908447,triline_distance_and_direction_losses,True,full,2.230964875467771,2.257270772488818,0.8862629246676514,0.6681034482758621,0.08653846153846154,55,99,0.7006085063528017,0.610236220472441,0.7380952380952381,0.8880203130203131,0.9134615384615384,0.5,1045,155,0.914327917282127,66.7174602033225,0.6898395721925134,0.030594405594405596,81,35,0.7006085063528017,0.7865853658536586,0.6142857142857143,0.8880203130203131,0.9694055944055944,0.7982276235520839,1109,129,67.72126876342277,13.8138588928048,0.8082727182331646,109.47591682321486,87.16645907413746,51.486250622697945,86.27335938498268,3.918267920051502,14,triline_transformer,15.33197243469978,2.9592824862677314,109.2728758190824,86.16161101195463,triline_transformer_2l_k14,triline,2,50.71651628300058,85.7879791260544,427014,4.345508390918065,4.345508390918065,41.45603036880493,setup_10km,10.0,5.8993217079421125,0.15509600937366486,1354,0.18707294762134552,5415
5,2.4012730280264467,"[{'min_km': 0.0, 'max_km': 5.0, 'weight': 1.0}, {'min_km': 5.0, 'max_km': 30.0, 'weight': 2.0}, {'min_km': 30.0, 'max_km': 100.0, 'weight': 4.0}, {'min_km': 100.0, 'max_km': None, 'weight': 8.0}]",8.0,8.0,1.7319778203964233,1.7021719217300415,triline_distance_and_direction_losses,True,full,2.4012730280264467,2.5481907457609054,0.8687615526802218,0.6321243523316061,0.10307017543859649,48,94,0.7058451231955507,0.5648148148148148,0.7176470588235294,0.8674471104231165,0.8969298245614035,0.5,818,122,0.911275415896488,69.14272539039163,0.6883116883116883,0.03508771929824561,64,32,0.7058451231955507,0.7681159420289855,0.6235294117647059,0.8674471104231165,0.9649122807017544,0.8147692316770554,880,106,70.2818452064756,15.279722962899692,0.901845820139392,100.78698277666841,87.9913971262926,61.269546989740086,103.09902921640861,5.027134386794533,30,triline_transformer,16.918763879034092,3.0661108021835863,100.61461271362397,86.6524901890448,triline_transformer_2l_k30,triline,2,59.530217572196165,103.09902921640861,429062,4.62077922077922,4.62077922077922,26.374526023864746,setup_10km,10.0,7.184034211346832,0.15711645781993866,1082,0.17791128158569336,4328
5,2.3295820552628492,"[{'min_km': 0.0, 'max_km': 5.0, 'weight': 1.0}, {'min_km': 5.0, 'max_km': 30.0, 'weight': 2.0}, {'min_km': 30.0, 'max_km': 100.0, 'weight': 4.0}, {'min_km': 100.0, 'max_km': None, 'weight': 8.0}]",8.0,8.0,1.7319778203964233,1.7021719217300415,triline_distance_and_direction_losses,True,full,2.3295820552628492,2.44803121702508,0.8752310536044362,0.6529562982005142,0.10087719298245613,43,92,0.6955850466739361,0.5799086757990868,0.7470588235294118,0.8666602167182663,0.8991228070175439,0.5,820,127,0.910351201478743,67.334667633282,0.6996904024767803,0.043859649122807015,57,40,0.6955850466739361,0.738562091503268,0.6647058823529411,0.8666602167182663,0.956140350877193,0.7167757413908838,872,113,67.84928235229539,14.770511571343416,0.9216405057608903,106.94997175023288,88.35211743970592,54.77677286850196,94.87858870963225,4.876442456472982,30,triline_transformer,16.263926961192126,3.194266760521253,106.76187879455802,87.83230612604616,triline_transformer_3l_k30,triline,3,54.765053848708604,94.86411771303509,627334,4.62077922077922,4.62077922077922,30.660242795944214,setup_10km,10.0,6.744161704333267,0.15711645781993866,1082,0.17791128158569336,4328
9,2.175108042688704,"[{'min_km': 0.0, 'max_km': 5.0, 'weight': 1.0}, {'min_km': 5.0, 'max_km': 30.0, 'weight': 2.0}, {'min_km': 30.0, 'max_km': 100.0, 'weight': 4.0}, {'min_km': 100.0, 'max_km': None, 'weight': 8.0}]",8.0,8.0,1.6684635877609253,1.8084568977355957,triline_distance_and_direction_losses,True,full,2.175108042688704,2.096826773769451,0.8955525606469003,0.6652267818574514,0.07407407407407407,61,94,0.6778832940104754,0.6209677419354839,0.7162790697674418,0.8791320761632487,0.9259259259259259,0.5,1175,154,0.9211590296495957,67.21671200540254,0.7022900763358778,0.03152088258471237,77,40,0.6778832940104754,0.7752808988764045,0.641860465116279,0.8791320761632487,0.9684791174152876,0.8122731876373291,1229,138,67.88925680196013,12.841156899997097,0.8101464395814337,121.71311740184879,92.5803579141371,45.007588231995825,78.25476477707087,3.514646672320144,7,triline_transformer,14.245541218590756,2.5723687232647263,121.36505084211323,91.8967531062575,triline_transformer_4l_k7,triline,4,45.12024928869803,78.25476477707087,822662,4.207017543859649,4.207017543859649,50.15965270996094,setup_10km,10.0,5.270914174331862,0.14487870037555695,1484,0.19204851984977722,5936
15,2.155695385559623,"[{'min_km': 0.0, 'max_km': 5.0, 'weight': 1.0}, {'min_km': 5.0, 'max_km': 30.0, 'weight': 2.0}, {'min_km': 30.0, 'max_km': 100.0, 'weight': 4.0}, {'min_km': 100.0, 'max_km': None, 'weight': 8.0}]",8.0,8.0,1.7082717418670654,1.7702677249908447,triline_distance_and_direction_losses,True,full,2.155695385559623,2.220427315907781,0.8914327917282127,0.6852248394004282,0.08479020979020979,50,97,0.7471575943836032,0.622568093385214,0.7619047619047619,0.8929320679320679,0.9152097902097902,0.5,1047,160,0.9150664697193501,69.11110819001439,0.7228915662650603,0.04807692307692308,60,55,0.7471575943836032,0.7317073170731707,0.7142857142857143,0.8929320679320679,0.9519230769230769,0.7003177537769079,1089,150,69.42747402300839,14.669992591350779,0.8394816871940518,100.36098634851135,86.60337201012705,57.342876962912186,95.327918773418,4.618357013861182,14,triline_transformer,15.937873448135505,2.8182543555434143,100.27685226535668,86.27986931805965,triline_transformer_4l_k14,triline,4,57.09081132745669,95.327918773418,823558,4.345508390918065,4.345508390918065,68.86479163169861,setup_10km,10.0,6.177052385378019,0.15509600937366486,1354,0.18707294762134552,5415
6,2.400854963471841,"[{'min_km': 0.0, 'max_km': 5.0, 'weight': 1.0}, {'min_km': 5.0, 'max_km': 30.0, 'weight': 2.0}, {'min_km': 30.0, 'max_km': 100.0, 'weight': 4.0}, {'min_km': 100.0, 'max_km': None, 'weight': 8.0}]",8.0,8.0,1.7319778203964233,1.7021719217300415,triline_distance_and_direction_losses,True,full,2.400854963471841,2.3589226952762568,0.9038817005545287,0.6959064327485379,0.0581140350877193,51,53,0.7180423383464644,0.6918604651162791,0.7,0.86749871001032,0.9418859649122807,0.5,859,119,0.9066543438077634,69.45396203636555,0.7020648967551623,0.05482456140350877,51,50,0.7180423383464644,0.7041420118343196,0.7,0.86749871001032,0.9451754385964912,0.5059418914094568,862,119,69.68402880300019,15.19268214861947,0.9584076172497416,101.05232472839377,86.93819114108578,58.949936483724244,101.75924624363441,5.035303934535349,30,triline_transformer,16.02069502976874,2.404041321222265,101.05307762412939,86.78991342314288,triline_transformer_4l_k30,triline,4,58.48639539241339,101.75924624363441,825606,4.62077922077922,4.62077922077922,48.008331060409546,setup_10km,10.0,6.060546574591701,0.15711645781993866,1082,0.17791128158569336,4328
6,2.118512655525516,"[{'min_km': 0.0, 'max_km': 5.0, 'weight': 1.0}, {'min_km': 5.0, 'max_km': 30.0, 'weight': 2.0}, {'min_km': 30.0, 'max_km': 100.0, 'weight': 4.0}, {'min_km': 100.0, 'max_km': None, 'weight': 8.0}]",8.0,8.0,1.6684635877609253,1.8084568977355957,triline_distance_and_direction_losses,True,full,2.118512655525516,2.0703367814220828,0.9056603773584906,0.6846846846846848,0.06067769897557131,63,77,0.739226352136161,0.6637554585152838,0.7069767441860465,0.8955632525152566,0.9393223010244287,0.5,1192,152,0.9204851752021563,68.01435547700956,0.6989795918367347,0.03152088258471237,78,40,0.739226352136161,0.7740112994350282,0.6372093023255814,0.8955632525152566,0.9684791174152876,0.6858375546755269,1229,137,68.72571027404484,13.288038808502272,0.8078201806387191,101.31048723805176,84.79675727640549,49.32121139174139,88.20925917571401,3.895525518437924,7,triline_lstm,14.581671624374977,2.5040402722851924,100.94101416342359,83.9965487600722,triline_lstm_2l_k7,triline,2,48.428876905923374,87.1082024479606,292870,4.207017543859649,4.207017543859649,45.7753369808197,setup_10km,10.0,5.528852847135865,0.14487870037555695,1484,0.19204851984977722,5936
11,2.1874535830369553,"[{'min_km': 0.0, 'max_km': 5.0, 'weight': 1.0}, {'min_km': 5.0, 'max_km': 30.0, 'weight': 2.0}, {'min_km': 30.0, 'max_km': 100.0, 'weight': 4.0}, {'min_km': 100.0, 'max_km': None, 'weight': 8.0}]",8.0,8.0,1.7082717418670654,1.7702677249908447,triline_distance_and_direction_losses,True,full,2.1874535830369553,2.144657612551262,0.8692762186115214,0.6409736308316429,0.10926573426573427,52,125,0.7533723382176923,0.558303886925795,0.7523809523809524,0.8949758574758575,0.8907342657342657,0.5,1019,158,0.9202363367799113,66.87982759333467,0.7202072538860104,0.032342657342657344,71,37,0.7533723382176923,0.7897727272727273,0.6619047619047619,0.8949758574758575,0.9676573426573427,0.7987027972936629,1107,139,67.4832724618725,13.182222143505811,0.8049111122092937,110.59883846955483,89.77673947627636,47.00868345392157,83.52139652920015,3.2143719976517864,14,triline_lstm,14.516128729679746,2.7004594208224226,110.25576741684864,88.92122864549619,triline_lstm_2l_k14,triline,2,46.39068601289135,80.4394836438551,292870,4.345508390918065,4.345508390918065,55.58833909034729,setup_10km,10.0,4.903911280931904,0.15509600937366486,1354,0.18707294762134552,5415
5,2.2403266610588033,"[{'min_km': 0.0, 'max_km': 5.0, 'weight': 1.0}, {'min_km': 5.0, 'max_km': 30.0, 'weight': 2.0}, {'min_km': 30.0, 'max_km': 100.0, 'weight': 4.0}, {'min_km': 100.0, 'max_km': None, 'weight': 8.0}]",8.0,8.0,1.7319778203964233,1.7021719217300415,triline_distance_and_direction_losses,True,full,2.2403266610588033,2.419600593845417,0.8613678373382625,0.6287128712871288,0.11732456140350878,43,107,0.7317553140797346,0.5427350427350427,0.7470588235294118,0.8765802373581011,0.8826754385964912,0.5,805,127,0.9121996303142329,67.79805683388915,0.6984126984126984,0.03837719298245614,60,35,0.7317553140797346,0.7586206896551724,0.6470588235294118,0.8765802373581011,0.9616228070175439,0.7093740045093,877,110,68.84345596202563,14.676285215154376,0.901845820139392,100.52660277066468,85.42518005059394,57.996458308983485,93.12266150350582,4.579334527689341,30,triline_lstm,16.142090086505583,3.3038823899136296,100.05711035796924,84.43835402519352,triline_lstm_2l_k30,triline,2,57.02825700810016,93.12266150350582,292870,4.62077922077922,4.62077922077922,38.227477073669434,setup_10km,10.0,6.513236635787155,0.15711645781993866,1082,0.17791128158569336,4328
