epoch,train_loss,test_delta_mse_norm,lr
1,0.8406641553818849,2.0071521025708776,0.001
2,0.6206742328989308,2.02862611936333,0.001
3,0.49784945268287234,1.8015617927649987,0.001
4,0.39133326172167626,1.9043007566836316,0.001
5,0.3063850246659048,1.976349441048839,0.001
6,0.25624561268498847,1.9017739780729226,0.001
7,0.20284565291651516,1.9601387827762173,0.001
8,0.17041224244011088,1.9897487238462663,0.0005
9,0.1416797827991232,1.9729959413877476,0.0005
10,0.1157385966638981,2.0120478434395217,0.0005
11,0.10737464035725197,1.9563306819048474,0.0005
12,0.10611232237928235,1.959812104371471,0.0005
13,0.09266118873289464,2.005117511572988,0.00025
14,0.08240972621135703,1.9784846173637236,0.00025
15,0.07796453301710474,1.9788811096642682,0.00025
16,0.0722753933859841,1.9864194732496787,0.00025
17,0.06899467403974639,1.9599613147390087,0.00025
18,0.0700804053800604,1.9698438697293152,0.000125
19,0.06716295178160209,1.9771683811039669,0.000125
20,0.06113734375857602,1.9629421939250502,0.000125
21,0.06080030366199955,1.954474465022907,0.000125
22,0.05916913192505757,1.9700564703527088,0.000125
23,0.05773745853171551,1.9627636682083778,6.25e-05
