epochs_logged,k,last_test_delta_mse_norm,last_test_loss,last_test_unweighted_loss,last_train_direction_loss,last_train_distance_loss,last_train_loss,last_train_mean_distance_weight,last_train_unweighted_direction_loss,last_train_unweighted_distance_loss,min_test_delta_mse_norm,min_test_loss,min_test_unweighted_loss,min_train_direction_loss,min_train_distance_loss,min_train_loss,min_train_mean_distance_weight,min_train_unweighted_direction_loss,min_train_unweighted_distance_loss,model,setup,training_log
37,1,1.013753041800766,,,,,0.3264643723453688,,,,0.9930513525216348,,,,,0.3232960488471976,,,,direct_mlp_last_day_k1,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_10km\k_1\direct_mlp_last_day_k1\training_log.csv
25,14,1.4415439566269934,,,,,0.2255913391640532,,,,1.2850584427398275,,,,,0.2255913391640532,,,,direct_transformer_2l_k14,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_10km\k_14\direct_transformer_2l_k14\training_log.csv
22,14,,3.0130607493694987,2.770945686357236,0.1718051166057806,0.4798157057493567,0.7763214081608357,1.7702677750081126,0.2506560872741463,0.5516374118220223,,2.541144211147877,2.437042794868548,0.167287927703624,0.4727553820566017,0.7627196937606826,1.7702677742155857,0.2455457927502643,0.5408780734955109,triline_linear_ar_full_k14,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_10km\k_14\triline_linear_ar_full_k14\training_log.csv
31,14,,3.779206577396816,3.3616434024038835,0.197508318398908,0.447181953788354,0.7433337968032006,1.770267774501776,0.2939741167500408,0.5145087509824519,,2.1874535830369557,2.091152203135864,0.1974859332526489,0.447181953788354,0.7432565116375988,1.7702677741715562,0.2939741167500408,0.5074586077079879,triline_lstm_2l_k14,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_10km\k_14\triline_lstm_2l_k14\training_log.csv
33,14,,3.057957966887616,2.8585231554208868,0.2624460892278842,0.8168018775523425,1.3775358237057842,1.770267774501776,0.3833497901977704,0.9016230975601922,,2.230964875467771,2.0658269580040938,0.2624460892278842,0.8168018775523425,1.3775358237057842,1.7702677741715562,0.3833497901977704,0.9016230975601922,triline_transformer_2l_k14,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_10km\k_14\triline_transformer_2l_k14\training_log.csv
35,14,,2.4266699279604844,2.3417695720227467,0.2902086523321086,0.9530392298517906,1.627823081549295,1.7702677750081126,0.41625753520048,1.055079847689811,,2.155695385559623,2.060940917168621,0.2902086523321086,0.9528931048658306,1.627823081549295,1.7702677741715562,0.41625753520048,1.0456959008510094,triline_transformer_4l_k14,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_10km\k_14\triline_transformer_4l_k14\training_log.csv
23,30,1.9627636682083776,,,,,0.0577374585317155,,,,1.8015617927649987,,,,,0.0577374585317155,,,,direct_mlp_sequence_k30,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_10km\k_30\direct_mlp_sequence_k30\training_log.csv
36,30,1.692842088653508,,,,,0.1473577903952043,,,,1.593415385473678,,,,,0.1473577903952043,,,,direct_transformer_2l_k30,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_10km\k_30\direct_transformer_2l_k30\training_log.csv
27,30,,3.1237379380823724,3.089609402605434,0.2264026305371423,0.98428288493271,1.6222308678018849,1.702171906966599,0.3166531724321644,1.0066549294316611,,2.919073422602937,2.9622915650471744,0.2259787676955768,0.98428288493271,1.6222308678018849,1.7021719038817005,0.3166233646010294,1.000679341680241,triline_linear_ar_delta_k30,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_10km\k_30\triline_linear_ar_delta_k30\training_log.csv
23,30,,4.675808892452783,4.172506242494706,0.108340215495686,0.2724958874161274,0.3760754247910434,1.7021719063055494,0.1556762944693486,0.2858809886600085,,2.954782025430648,2.9920037079209982,0.1078521355077651,0.2724958874161274,0.3760754247910434,1.7021719038817005,0.1553378971964947,0.2858809886600085,triline_linear_ar_full_k30,setup_10km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_10km\k_30\triline_linear_ar_full_k30\training_log.csv
