final_rollout_error_km,mean_rollout_error_km,model,paths,setup,threshold
445.4136333203084,345.17090532669056,triline_lstm_2l_k7__distance_only,20,setup_30km,0.720598
408.83266615656515,327.22942329047373,triline_lstm_2l_k7__distance_only,20,setup_30km,0.770598
375.47296993880383,303.68133198602936,triline_lstm_2l_k7__distance_only,20,setup_30km,0.820598
298.1425480249343,247.3868800135637,triline_lstm_2l_k7__distance_only,20,setup_30km,0.870598
490.4045170922192,365.53018977940064,triline_lstm_2l_k7__distance_only,20,setup_30km,0.920598
1235.9813991574783,798.2931975961179,triline_transformer_2l_k7__current_bins,20,setup_30km,0.799572
1205.5530146129108,784.4771565187593,triline_transformer_2l_k7__current_bins,20,setup_30km,0.849572
1109.3597369926508,747.4115113426576,triline_transformer_2l_k7__current_bins,20,setup_30km,0.899572
680.1597979032684,554.2782377907346,triline_transformer_2l_k7__current_bins,20,setup_30km,0.949572
897.7560499201212,728.0452683956721,triline_transformer_2l_k7__current_bins,20,setup_30km,0.99
393.0350310329038,303.6229219729842,triline_lstm_2l_k7__distance_only,20,setup_10km,0.728089
401.7004356116193,307.51312342248457,triline_lstm_2l_k7__distance_only,20,setup_10km,0.778089
408.7298015901623,311.54944330358876,triline_lstm_2l_k7__distance_only,20,setup_10km,0.828089
412.4122065429319,309.9105741293297,triline_lstm_2l_k7__distance_only,20,setup_10km,0.878089
389.12334172039914,300.8749944090722,triline_lstm_2l_k7__distance_only,20,setup_10km,0.928089
713.7974496123715,527.4836022062631,triline_transformer_4l_k7__mild_bins,20,setup_10km,0.72665
710.5430449918579,526.0565749315424,triline_transformer_4l_k7__mild_bins,20,setup_10km,0.77665
699.7191967751535,520.7412854811319,triline_transformer_4l_k7__mild_bins,20,setup_10km,0.82665
652.8877340984475,497.10998863502374,triline_transformer_4l_k7__mild_bins,20,setup_10km,0.87665
511.101892154414,411.04515456231877,triline_transformer_4l_k7__mild_bins,20,setup_10km,0.92665
