epoch,train_loss,test_delta_mse_norm,lr
1,0.7257120877917124,1.3901175325695134,0.001
2,0.6238937783879697,1.4463185686480524,0.001
3,0.5934504239595497,1.3431250799001584,0.001
4,0.5570251535455716,1.3622365610638256,0.001
5,0.5507538845361876,1.2850584427398275,0.001
6,0.5373207943261165,1.3415729686111608,0.001
7,0.5022979099444516,1.3845589946256607,0.001
8,0.4870748798355171,1.410180417262293,0.001
9,0.48432410869571973,1.4210527496112502,0.001
10,0.4581169589184438,1.3755775491103113,0.0005
11,0.4210170912280307,1.304764577169714,0.0005
12,0.3946529859403494,1.4113733412772198,0.0005
13,0.37853031453443475,1.3019903315399035,0.0005
14,0.35368386608301655,1.3342887985477418,0.0005
15,0.3594957719108955,1.299625661559788,0.00025
16,0.31145636611588,1.3997906779256846,0.00025
17,0.28894165397405847,1.3766432808632336,0.00025
18,0.2833782805740448,1.3555370877377215,0.00025
19,0.27718963359834303,1.4461339164519769,0.00025
20,0.2743629288557824,1.4534383489250962,0.000125
21,0.2555982901449019,1.415085264287636,0.000125
22,0.24610117763033204,1.416876408338899,0.000125
23,0.23042382921676116,1.440293319116139,0.000125
24,0.24269509548845933,1.4339306266480394,0.000125
25,0.2255913391640532,1.4415439566269934,6.25e-05
