baseline_model,best_balanced_score,best_epoch,best_test_loss,distance_weight_bins,distance_weight_config,distance_weight_max_test,distance_weight_max_train,distance_weight_mean_test,distance_weight_mean_train,distance_weight_scope,distance_weighted_training,feature_mode,final_delta_mse_norm,final_test_loss,final_unweighted_test_loss,fixed_0_5_fly_accuracy,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_fn,fixed_0_5_fly_fp,fixed_0_5_fly_pr_auc,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_roc_auc,fixed_0_5_fly_specificity,fixed_0_5_fly_threshold,fixed_0_5_fly_tn,fixed_0_5_fly_tp,fly_accuracy,fly_error_mean_km,fly_f1,fly_false_positive_rate,fly_fn,fly_fp,fly_pr_auc,fly_precision,fly_recall,fly_roc_auc,fly_specificity,fly_threshold,fly_tn,fly_tp,gated_fly_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_migration100_error_mean_km,gated_migration50_error_mean_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,k,kind,mean_error_km,median_error_km,migration100_error_mean_km,migration50_error_mean_km,model,model_family,movement_categories,n_layers,p90_error_km,p95_error_km,params,pos_weight,raw_pos_weight,runtime_seconds,selection_reason,setup,setup_fly_threshold_km,stationary_error_mean_km,test_fly_rate,test_samples,train_fly_rate,train_samples,weather_baseline_mean_error_km,weather_baseline_migration50_error_mean_km
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0659985604233,,,,,,,,,,,,,,,,,,,,,7,persistence,14.923289710207357,0.7386321611583204,184.70182581939795,143.19965037479795,persistence,baseline,,,33.240053740375686,104.3792604099195,0,,,,,setup_30km,30.0,2.3544520636361694,0.10242587327957153,1484,,5936,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.17166379159897,,,,,,,,,,,,,,,,,,,,,7,const_velocity,17.8170676659345,1.763707701548658,138.287399737784,116.09933869184147,const_velocity,baseline,,,54.11542864244548,113.61396151611616,0,,,,,setup_30km,30.0,7.392218858801617,0.10242587327957153,1484,,5936,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.18693432868216,,,,,,,,,,,,,,,,,,,,,14,persistence,15.89449731571084,0.7254620855826754,185.29211067588338,142.88954710816134,persistence,baseline,,,42.2899299132938,106.70000145805625,0,,,,,setup_30km,30.0,2.380328755600693,0.11004431545734406,1354,,5415,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.83508627174578,,,,,,,,,,,,,,,,,,,,,14,const_velocity,18.699088483856144,1.7985175450952857,138.673328031516,115.97701697014838,const_velocity,baseline,,,59.68489376262655,118.22454949275478,0,,,,,setup_30km,30.0,7.553641454482236,0.11004431545734406,1354,,5415,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.01192579365977,,,,,,,,,,,,,,,,,,,,,30,persistence,16.339407133996552,0.8082727182331646,189.8530443415869,146.62910503452096,persistence,baseline,,,40.923995571751,108.11717038463665,0,,,,,setup_30km,30.0,2.539791640227164,0.10998151451349258,1082,,4328,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.1596434195498,,,,,,,,,,,,,,,,,,,,,30,const_velocity,19.54231281414791,2.28170494968953,141.64378290818016,119.9864140083335,const_velocity,baseline,,,61.88703872289553,120.56582928182819,0,,,,,setup_30km,30.0,7.973816093438845,0.10998151451349258,1082,,4328,,
,,7,1.0118317051396537,,,,,,,,,,1.0118317051396537,,,,,,,,,,,,,,,,,78.83565382841991,,,,,,,,,,,,,,,,,,,,,7,direct_transformer,14.274545749690585,3.393367978676742,96.57695266547712,85.63335244676999,direct_transformer_2l_k7,direct,,2,42.71279991782659,73.72902169497426,408964,,,10.988004207611084,,setup_30km,30.0,6.907212095060814,0.10242587327957153,1484,0.1335916370153427,5936,,
,,5,1.2850584427398275,,,,,,,,,,1.2850584427398275,,,,,,,,,,,,,,,,,78.0894468173427,,,,,,,,,,,,,,,,,,,,,14,direct_transformer,17.997934694275028,5.6901008442587555,99.74452267801782,83.42578259590567,direct_transformer_2l_k14,direct,,2,51.870697438876746,81.51231870934316,409860,,,8.461612939834595,,setup_30km,30.0,10.56753195042682,0.11004431545734406,1354,0.1276084929704666,5415,,
,,17,0.9930513525216347,,,,,,,,,,0.9930513525216347,,,,,,,,,,,,,,,,,81.98958137808206,,,,,,,,,,,,,,,,,,,,,1,direct_mlp_last,14.341497833291358,3.705290085413627,109.21153872933226,90.46299049628546,direct_mlp_last_day_k1,direct,,0,41.45636946891305,72.70787373290777,16226,,,6.957583427429199,,setup_30km,30.0,6.882026181212439,0.09931719303131104,1611,0.13584847748279572,6441,,
triline_lstm_2l_k7,12.604168041720046,5,2.066158220774401,"[1.0, 1.25, 1.75, 2.5]",mild_bins,2.5,2.5,1.1539757251739502,1.1850993633270264,distance_and_direction_losses,True,full,,2.066158220774401,1.8724714032401937,0.9191374663072777,0.6774193548387097,0.07057057057057058,26,94,0.7219971035136437,0.5727272727272728,0.8289473684210527,0.9388286312628418,0.9294294294294294,0.5,1238,126,0.9420485175202157,88.54791868506493,0.7189542483660132,0.03303303303303303,42,44,0.7219971035136437,0.7142857142857143,0.7236842105263158,0.9388286312628418,0.9669669669669669,0.8104598067142069,1288,110,89.53577074192582,12.604168041720046,0.789966667334771,129.52223377111986,99.85219014269322,38.71369023816125,74.66543333251403,3.825186352207076,7,triline_lstm,13.141880134194613,1.6233623016461673,129.0243202013482,98.83017180911277,triline_lstm_2l_k7__mild_bins,triline,"['stationary', 'short', 'medium', 'large']",2,38.37299438907903,74.66543333251403,301906,6.485498108448928,6.485498108448928,20.011552333831787,balanced_checkpoint_score,setup_30km,30.0,4.536986846107308,0.10242587327957153,1484,0.1335916370153427,5936,13.144139911016392,104.7680104346084
