final_rollout_error_km,mean_rollout_error_km,model,paths,setup,threshold
539.2183991038584,438.7071139759546,triline_lstm_2l_k7__mild_bins,20,setup_30km,0.609341
560.750043057259,453.8160700129416,triline_lstm_2l_k7__mild_bins,20,setup_30km,0.659341
585.692008388873,470.43658590613387,triline_lstm_2l_k7__mild_bins,20,setup_30km,0.709341
668.0601975657378,519.5237806990875,triline_lstm_2l_k7__mild_bins,20,setup_30km,0.759341
699.299039583358,545.0889345531183,triline_lstm_2l_k7__mild_bins,20,setup_30km,0.809341
534.4892171095647,450.39942525182903,triline_transformer_2l_k7__distance_only,20,setup_30km,0.711674
591.0714641294675,483.7269922376543,triline_transformer_2l_k7__distance_only,20,setup_30km,0.761674
714.9043250386233,576.9444297192622,triline_transformer_2l_k7__distance_only,20,setup_30km,0.811674
877.2541665148074,708.4610789606033,triline_transformer_2l_k7__distance_only,20,setup_30km,0.861674
897.7560499201212,728.0452683956721,triline_transformer_2l_k7__distance_only,20,setup_30km,0.911674
480.61442630343316,404.3167815267765,triline_lstm_2l_k7__mild_bins,20,setup_10km,0.449338
486.353820851964,407.31190917434003,triline_lstm_2l_k7__mild_bins,20,setup_10km,0.499338
513.8636362534585,426.4492593185508,triline_lstm_2l_k7__mild_bins,20,setup_10km,0.549338
551.6505677624839,450.1677936179005,triline_lstm_2l_k7__mild_bins,20,setup_10km,0.599338
572.6151209221896,461.05309906881865,triline_lstm_2l_k7__mild_bins,20,setup_10km,0.649338
447.4019559232317,361.54151238833066,triline_transformer_2l_k7__distance_only,20,setup_10km,0.595813
457.54051258549316,365.27895162433686,triline_transformer_2l_k7__distance_only,20,setup_10km,0.645813
452.338409735781,362.2531147918545,triline_transformer_2l_k7__distance_only,20,setup_10km,0.695813
489.8088352522885,392.34773623803403,triline_transformer_2l_k7__distance_only,20,setup_10km,0.745813
573.8920143032616,463.4396100038863,triline_transformer_2l_k7__distance_only,20,setup_10km,0.795813
