baseline_model,best_balanced_score,best_epoch,best_test_loss,distance_weight_bins,distance_weight_config,distance_weight_max_test,distance_weight_max_train,distance_weight_mean_test,distance_weight_mean_train,distance_weight_scope,distance_weighted_training,feature_mode,final_test_loss,final_unweighted_test_loss,fixed_0_5_fly_accuracy,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_fn,fixed_0_5_fly_fp,fixed_0_5_fly_pr_auc,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_roc_auc,fixed_0_5_fly_specificity,fixed_0_5_fly_threshold,fixed_0_5_fly_tn,fixed_0_5_fly_tp,fly_accuracy,fly_error_mean_km,fly_f1,fly_false_positive_rate,fly_fn,fly_fp,fly_pr_auc,fly_precision,fly_recall,fly_roc_auc,fly_specificity,fly_threshold,fly_tn,fly_tp,gated_fly_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_migration100_error_mean_km,gated_migration50_error_mean_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,k,kind,mean_error_km,median_error_km,migration100_error_mean_km,migration50_error_mean_km,model,model_family,movement_categories,n_layers,p90_error_km,p95_error_km,params,pos_weight,raw_pos_weight,runtime_seconds,selection_reason,setup,setup_fly_threshold_km,stationary_error_mean_km,test_fly_rate,test_samples,train_fly_rate,train_samples,weather_baseline_mean_error_km,weather_baseline_migration50_error_mean_km
triline_lstm_2l_k7,12.604168041720046,5,2.066158220774401,"[1.0, 1.25, 1.75, 2.5]",mild_bins,2.5,2.5,1.1539757251739502,1.1850993633270264,distance_and_direction_losses,True,full,2.066158220774401,1.8724714032401937,0.9191374663072777,0.6774193548387097,0.07057057057057058,26,94,0.7219971035136437,0.5727272727272728,0.8289473684210527,0.9388286312628418,0.9294294294294294,0.5,1238,126,0.9420485175202157,88.54791868506493,0.7189542483660132,0.03303303303303303,42,44,0.7219971035136437,0.7142857142857143,0.7236842105263158,0.9388286312628418,0.9669669669669669,0.8104598067142069,1288,110,89.53577074192582,12.604168041720046,0.789966667334771,129.52223377111986,99.85219014269322,38.71369023816125,74.66543333251403,3.825186352207076,7,triline_lstm,13.141880134194613,1.6233623016461673,129.0243202013482,98.83017180911277,triline_lstm_2l_k7__mild_bins,triline,"['stationary', 'short', 'medium', 'large']",2,38.37299438907903,74.66543333251403,301906,6.485498108448928,6.485498108448928,20.011552333831787,balanced_checkpoint_score,setup_30km,30.0,4.536986846107308,0.10242587327957153,1484,0.1335916370153427,5936,13.144139911016392,104.7680104346084
triline_lstm_2l_k7,12.611900219719711,5,2.1404855039241824,"[1.0, 1.5, 2.5, 4.0]",medium_bins,4.0,4.0,1.3079514503479004,1.3701988458633423,distance_and_direction_losses,True,full,2.1404855039241824,1.9000599210795688,0.9171159029649596,0.6737400530503977,0.07357357357357357,25,98,0.7242931106437225,0.5644444444444444,0.8355263157894737,0.9376086612928718,0.9264264264264265,0.5,1234,127,0.9413746630727763,84.16646936867077,0.716612377850163,0.033783783783783786,42,45,0.7242931106437225,0.7096774193548387,0.7236842105263158,0.9376086612928718,0.9662162162162162,0.8153586865402759,1287,110,85.56025818759406,12.611900219719711,0.7936249563959298,120.10898003736892,93.75789214305006,43.653699992283364,76.7303968625304,4.287462974136457,7,triline_lstm,13.31419650815101,1.7353106209260811,119.33546476999835,92.33109597716228,triline_lstm_2l_k7__medium_bins,triline,"['stationary', 'short', 'medium', 'large']",2,42.508371165641904,76.1502042941661,301906,6.485498108448928,6.485498108448928,19.85353446006775,balanced_checkpoint_score,setup_30km,30.0,5.228952157701308,0.10242587327957153,1484,0.1335916370153427,5936,13.144139911016392,104.7680104346084
triline_lstm_2l_k7,12.601491874449263,5,2.147010057762948,"[1.0, 1.5, 2.5, 4.0]",distance_only,4.0,4.0,1.3079514503479004,1.3701988458633423,distance_loss_only,True,full,2.147010057762948,1.8999474961160008,0.9164420485175202,0.6736842105263158,0.07507507507507508,24,100,0.7233686292838293,0.5614035087719298,0.8421052631578947,0.9373468863600444,0.924924924924925,0.5,1232,128,0.9420485175202157,84.1592947303094,0.7189542483660132,0.03303303303303303,42,44,0.7233686292838293,0.7142857142857143,0.7236842105263158,0.9373468863600444,0.9669669669669669,0.820598289114423,1288,110,85.5372278523389,12.601491874449263,0.789966667334771,119.95172640274461,93.74068543008545,44.44327961285557,78.02951083711737,4.2784949760714674,7,triline_lstm,13.333326325716435,1.7510086468488262,119.20497876780236,92.33490021643969,triline_lstm_2l_k7__distance_only,triline,"['stationary', 'short', 'medium', 'large']",2,42.18401538477459,77.73051168326906,301906,6.485498108448928,6.485498108448928,20.033259630203247,balanced_checkpoint_score,setup_30km,30.0,5.2510836849520715,0.10242587327957153,1484,0.1335916370153427,5936,13.144139911016392,104.7680104346084
triline_lstm_2l_k7,,7,2.1697667917472656,"[1.0, 2.0, 4.0, 8.0]",current_bins,8.0,8.0,1.6684635877609253,1.8084568977355957,distance_and_direction_losses,True,full,2.1697667917472656,2.040733623376111,0.9117250673854448,0.6716791979949875,0.08483483483483484,18,113,0.73642449033493,0.5425101214574899,0.881578947368421,0.9405425162004108,0.9151651651651652,0.5,1219,134,0.944743935309973,82.34822105179924,0.74375,0.03678678678678678,33,49,0.73642449033493,0.7083333333333334,0.7828947368421053,0.9405425162004108,0.9632132132132132,0.7811367907549721,1283,119,83.52925649330088,13.040047597584712,0.7947988050069997,108.77452984137838,89.83305396127675,45.39509427755318,87.20161161850412,4.996233969845329,7,triline_lstm,14.45830358759819,2.356005050210938,107.9145628722936,88.69638703698281,triline_lstm_2l_k7__current_bins,triline,"['stationary', 'short', 'medium', 'large']",2,45.213696492281336,86.41970364324413,301906,6.485498108448928,6.485498108448928,21.744694709777832,weighted_validation_loss_fallback,setup_30km,30.0,6.711105798890562,0.10242587327957153,1484,0.1335916370153427,5936,13.144139911016392,104.7680104346084
triline_transformer_2l_k7,12.860644648198901,11,2.0583649009385843,"[1.0, 1.25, 1.75, 2.5]",mild_bins,2.5,2.5,1.1539757251739502,1.1850993633270264,distance_and_direction_losses,True,full,2.0819213165427155,1.903664153219876,0.9225067385444744,0.6949602122015914,0.07057057057057058,21,94,0.7070666832457515,0.5822222222222222,0.8618421052631579,0.9321607792002529,0.9294294294294294,0.5,1238,131,0.9366576819407008,87.84456913213621,0.7168674698795181,0.0457957957957958,33,61,0.7070666832457515,0.6611111111111111,0.7828947368421053,0.9321607792002529,0.9542042042042042,0.7511359022557736,1271,119,88.42905904072215,12.860644648198901,0.8132165286706651,126.84176150582206,98.5395514703925,43.497376160615154,74.3604073067949,4.237221984787841,7,triline_transformer,13.317387301104672,1.5223977923721308,126.50625368606602,97.92705341618985,triline_transformer_2l_k7__mild_bins,triline,"['stationary', 'short', 'medium', 'large']",2,42.76980793754257,72.93290964695136,435154,6.485498108448928,6.485498108448928,27.754945993423462,balanced_checkpoint_score,setup_30km,30.0,4.812783969035009,0.10242587327957153,1484,0.1335916370153427,5936,13.549866778737258,107.92681077217256
triline_transformer_2l_k7,12.838069673249743,3,2.2158164367521547,"[1.0, 1.5, 2.5, 4.0]",medium_bins,4.0,4.0,1.3079514503479004,1.3701988458633423,distance_and_direction_losses,True,full,2.2158164367521547,2.0506752899714877,0.8969002695417789,0.6313253012048192,0.0990990990990991,21,132,0.693682575109675,0.49809885931558934,0.8618421052631579,0.9292763157894737,0.9009009009009009,0.5,1200,131,0.9420485175202157,88.20514575591984,0.7225806451612904,0.03453453453453453,40,46,0.693682575109675,0.7088607594936709,0.7368421052631579,0.9292763157894737,0.9654654654654654,0.847326890565455,1286,112,89.87437706303822,12.838069673249743,0.7947988050069997,133.0361206532634,101.10243213390318,42.115030767986006,76.44952302740484,4.047139700841447,7,triline_transformer,14.020342679369367,2.2148287296040134,131.4899778126728,99.15229805901886,triline_transformer_2l_k7__medium_bins,triline,"['stationary', 'short', 'medium', 'large']",2,40.7437624201221,75.67824749640242,435154,6.485498108448928,6.485498108448928,20.884697914123535,balanced_checkpoint_score,setup_30km,30.0,5.554809595558802,0.10242587327957153,1484,0.1335916370153427,5936,13.549866778737258,107.92681077217256
triline_transformer_2l_k7,12.820395091499764,18,2.1359915032862333,"[1.0, 1.5, 2.5, 4.0]",distance_only,4.0,4.0,1.3079514503479004,1.3701988458633423,distance_loss_only,True,full,2.1531194458110634,1.9011023924999804,0.9305929919137467,0.7130919220055709,0.05930930930930931,24,79,0.7085616417948926,0.6183574879227053,0.8421052631578947,0.9380235498656552,0.9406906906906907,0.5,1253,128,0.9353099730458221,86.11970985096664,0.7257142857142858,0.0533033033033033,25,71,0.7085616417948926,0.6414141414141414,0.8355263157894737,0.9380235498656552,0.9466966966966966,0.5741484163852875,1261,127,86.36801118607995,12.820395091499764,0.8211273133995798,125.23224344220426,96.52597006685656,41.15267288468135,76.61997098497119,4.427574035661782,7,triline_transformer,13.423828932589885,1.8126724633183655,125.1632552627803,96.24781800899162,triline_transformer_2l_k7__distance_only,triline,"['stationary', 'short', 'medium', 'large']",2,41.15267288468135,76.61997098497119,435154,6.485498108448928,6.485498108448928,34.34811735153198,balanced_checkpoint_score,setup_30km,30.0,5.128202881844187,0.10242587327957153,1484,0.1335916370153427,5936,13.549866778737258,107.92681077217256
triline_transformer_2l_k7,12.601168543186377,9,2.163054335149472,"[1.0, 2.0, 4.0, 8.0]",current_bins,8.0,8.0,1.6684635877609253,1.8084568977355957,distance_and_direction_losses,True,full,2.2030936129330945,1.957122259062898,0.9164420485175202,0.675392670157068,0.07582582582582582,23,101,0.6984304748023626,0.5608695652173913,0.8486842105263158,0.9406412991939308,0.9241741741741741,0.5,1231,129,0.9460916442048517,85.25496976578275,0.7278911564625851,0.026276276276276277,45,35,0.6984304748023626,0.7535211267605634,0.7039473684210527,0.9406412991939308,0.9737237237237237,0.8995724547840654,1297,107,88.07063434112096,12.601168543186377,0.7822581243602424,128.64116016292752,97.8106979518511,40.15854303746924,75.78966849504938,3.9890373109896364,7,triline_transformer,13.93671603117861,2.2365327949364104,126.15753383134721,94.82765478069336,triline_transformer_2l_k7__current_bins,triline,"['stationary', 'short', 'medium', 'large']",2,43.03085268779014,75.51591549138774,435154,6.485498108448928,6.485498108448928,26.18180012702942,balanced_checkpoint_score,setup_30km,30.0,5.798296686088647,0.10242587327957153,1484,0.1335916370153427,5936,13.549866778737258,107.92681077217256
triline_transformer_4l_k7,12.731802074509552,6,2.0419550398289354,"[1.0, 1.25, 1.75, 2.5]",mild_bins,2.5,2.5,1.1539757251739502,1.1850993633270264,distance_and_direction_losses,True,full,2.0419550398289354,1.9106588993432387,0.9278975741239892,0.7036011080332409,0.06156156156156156,25,82,0.7188677907006615,0.6076555023923444,0.8355263157894737,0.9395052947684528,0.9384384384384384,0.5,1250,127,0.942722371967655,84.57405564342257,0.736842105263158,0.03903903903903904,33,52,0.7188677907006615,0.695906432748538,0.7828947368421053,0.9395052947684528,0.960960960960961,0.8098003705963492,1280,119,85.21658517515418,12.731802074509552,0.8078201806387191,122.25338312149648,94.10650946686529,44.692458543218535,77.24215188654001,4.460265264225783,7,triline_transformer,13.350152974521977,1.8581915589855218,121.89722263233234,93.6544276984201,triline_transformer_4l_k7__mild_bins,triline,"['stationary', 'short', 'medium', 'large']",4,42.99703928027728,77.24215188654001,831698,6.485498108448928,6.485498108448928,30.283636808395386,balanced_checkpoint_score,setup_30km,30.0,5.2225004177104974,0.10242587327957153,1484,0.1335916370153427,5936,13.455684192575625,112.37065053314667
triline_transformer_4l_k7,12.691322662221967,6,2.0880446151260417,"[1.0, 1.5, 2.5, 4.0]",medium_bins,4.0,4.0,1.3079514503479004,1.3701988458633423,distance_and_direction_losses,True,full,2.0880446151260417,1.9259447993615246,0.9204851752021563,0.6894736842105263,0.07282282282282282,21,97,0.7124674375191128,0.5745614035087719,0.8618421052631579,0.9424342105263157,0.9271771771771772,0.5,1235,131,0.944743935309973,81.70226051360525,0.7484662576687118,0.03903903903903904,30,52,0.7124674375191128,0.7011494252873564,0.8026315789473685,0.9424342105263157,0.960960960960961,0.8178191381506622,1280,122,82.35971603227364,12.691322662221967,0.8078201806387191,117.11774883232773,90.7113482466513,45.07079659645275,77.49384470426166,4.7411756710449,7,triline_transformer,13.481770323344875,1.9195186084892422,116.83688509846833,90.16484448727532,triline_transformer_4l_k7__medium_bins,triline,"['stationary', 'short', 'medium', 'large']",4,44.882681745412135,77.49384470426166,831698,6.485498108448928,6.485498108448928,28.377591371536255,balanced_checkpoint_score,setup_30km,30.0,5.696849520852699,0.10242587327957153,1484,0.1335916370153427,5936,13.455684192575625,112.37065053314667
