epoch,train_loss,test_delta_mse_norm,lr
1,0.6725130524596756,1.1527445245624552,0.001
2,0.6050178358818321,1.1462888589123832,0.001
3,0.6049977464254975,1.1667738577747602,0.001
4,0.5915433507402631,1.126278756442417,0.001
5,0.5656054195046746,1.0995363353718965,0.001
6,0.5663428111378395,1.1242786623396963,0.001
7,0.5625423630774824,1.1526374122845837,0.001
8,0.5533925147069433,1.110950562510529,0.001
9,0.5436983939933006,1.1219891165144682,0.001
10,0.5458467578630884,1.0734416262480126,0.001
11,0.5377261113285055,1.1251662683615467,0.001
12,0.5123337423705027,1.1220314457731426,0.001
13,0.5207639876803298,1.1518235964916466,0.001
14,0.5057278640588339,1.1135394001264136,0.001
15,0.5044411456167216,1.1160552906540204,0.0005
16,0.46960699477928347,1.1293148930182033,0.0005
17,0.44997298179289724,1.1064562116350447,0.0005
18,0.43056810962543335,1.123257526490245,0.0005
19,0.44369308068103225,1.1441632808058089,0.0005
20,0.4275141759220802,1.2305366073978559,0.00025
21,0.40138523437263507,1.1373857307948192,0.00025
22,0.39153562241166107,1.1599644612109243,0.00025
23,0.38404450945134433,1.171001151565593,0.00025
24,0.3798112750374725,1.1914083527104873,0.00025
25,0.3758806618397448,1.2044253336451445,0.000125
26,0.3553720582527613,1.1921329241235943,0.000125
27,0.3500956965263963,1.2269185521210622,0.000125
28,0.34819168840457165,1.2325186819400427,0.000125
29,0.3362089408375825,1.2425426832749193,0.000125
30,0.3304529826274779,1.241336344387332,6.25e-05
