best_epoch,best_test_loss,feature_mode,final_delta_mse_norm,final_test_loss,fixed_0_5_fly_accuracy,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_fn,fixed_0_5_fly_fp,fixed_0_5_fly_pr_auc,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_roc_auc,fixed_0_5_fly_specificity,fixed_0_5_fly_threshold,fixed_0_5_fly_tn,fixed_0_5_fly_tp,fly_accuracy,fly_error_mean_km,fly_f1,fly_false_positive_rate,fly_fn,fly_fp,fly_pr_auc,fly_precision,fly_recall,fly_roc_auc,fly_specificity,fly_threshold,fly_tn,fly_tp,gated_fly_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_migration50_error_mean_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,k,kind,mean_error_km,median_error_km,migration50_error_mean_km,model,model_family,n_layers,p90_error_km,p95_error_km,params,pos_weight,raw_pos_weight,runtime_seconds,setup,setup_fly_threshold_km,stationary_error_mean_km,test_fly_rate,test_samples,train_fly_rate,train_samples
,,,,,,,,,,,,,,,,,,,125.0659985604233,,,,,,,,,,,,,,,,,,,,7,persistence,14.923289710207357,0.7386321611583204,143.19965037479795,persistence,baseline,,33.240053740375686,104.3792604099195,0,,,,setup_30km,30.0,2.3544520636361694,0.10242587327957153,1484,,5936
,,,,,,,,,,,,,,,,,,,109.17166379159897,,,,,,,,,,,,,,,,,,,,7,const_velocity,17.8170676659345,1.763707701548658,116.09933869184147,const_velocity,baseline,,54.11542864244548,113.61396151611616,0,,,,setup_30km,30.0,7.392218858801617,0.10242587327957153,1484,,5936
,,,,,,,,,,,,,,,,,,,125.18693432868216,,,,,,,,,,,,,,,,,,,,14,persistence,15.89449731571084,0.7254620855826754,142.88954710816134,persistence,baseline,,42.2899299132938,106.70000145805625,0,,,,setup_30km,30.0,2.380328755600693,0.11004431545734406,1354,,5415
,,,,,,,,,,,,,,,,,,,108.83508627174578,,,,,,,,,,,,,,,,,,,,14,const_velocity,18.699088483856144,1.7985175450952857,115.97701697014838,const_velocity,baseline,,59.68489376262655,118.22454949275478,0,,,,setup_30km,30.0,7.553641454482236,0.11004431545734406,1354,,5415
,,,,,,,,,,,,,,,,,,,128.01192579365977,,,,,,,,,,,,,,,,,,,,30,persistence,16.339407133996552,0.8082727182331646,146.62910503452096,persistence,baseline,,40.923995571751,108.11717038463665,0,,,,setup_30km,30.0,2.539791640227164,0.10998151451349258,1082,,4328
,,,,,,,,,,,,,,,,,,,113.1596434195498,,,,,,,,,,,,,,,,,,,,30,const_velocity,19.54231281414791,2.28170494968953,119.9864140083335,const_velocity,baseline,,61.88703872289553,120.56582928182819,0,,,,setup_30km,30.0,7.973816093438845,0.10998151451349258,1082,,4328
,,,,,,,,,,,,,,,,,,,93.61969260039537,,,,,,,,,,,,,,,,,,,,7,persistence,14.923289710207357,0.7386321611583204,143.19965037479795,persistence,baseline,,33.240053740375686,104.3792604099195,0,,,,setup_10km,10.0,1.5901718052503633,0.14487870037555695,1484,,5936
,,,,,,,,,,,,,,,,,,,89.9617353052174,,,,,,,,,,,,,,,,,,,,7,const_velocity,17.8170676659345,1.763707701548658,116.09933869184147,const_velocity,baseline,,54.11542864244548,113.61396151611616,0,,,,setup_10km,10.0,5.593975827915725,0.14487870037555695,1484,,5936
,,,,,,,,,,,,,,,,,,,93.93371469095977,,,,,,,,,,,,,,,,,,,,14,persistence,15.89449731571084,0.7254620855826754,142.88954710816134,persistence,baseline,,42.2899299132938,106.70000145805625,0,,,,setup_10km,10.0,1.5691165038207362,0.15509600937366486,1354,,5415
,,,,,,,,,,,,,,,,,,,90.15228767695773,,,,,,,,,,,,,,,,,,,,14,const_velocity,18.699088483856144,1.7985175450952857,115.97701697014838,const_velocity,baseline,,59.68489376262655,118.22454949275478,0,,,,setup_10km,10.0,5.582679541066511,0.15509600937366486,1354,,5415
