epoch,train_loss,test_delta_mse_norm,lr
1,0.7433945620454185,1.2440638663530497,0.001
2,0.6054362240942197,1.1994766008032545,0.001
3,0.5708256532012852,1.1342932424657763,0.001
4,0.5442276316790491,1.1008411782783873,0.001
5,0.5310244930121788,1.0993804215348928,0.001
6,0.5112862269287246,1.0720234592089661,0.001
7,0.4925165027171776,1.052320983526797,0.001
8,0.4830237412800646,1.0462489841444607,0.001
9,0.46812388596559157,1.0296657591558702,0.001
10,0.4649215369023923,1.0312910729650382,0.001
11,0.44261557749155755,1.0112195464855835,0.001
12,0.4375274390875229,1.026056913616197,0.001
13,0.42605090571142024,1.011256255843046,0.001
14,0.41504953350270873,1.0222721856103634,0.001
15,0.4134179927828593,1.0600287597568638,0.001
16,0.3978071423180076,1.0403414078930904,0.0005
17,0.3823952905381435,0.9930513525216347,0.0005
18,0.371234930953408,1.0046729298573263,0.0005
19,0.3770809682597101,1.0070800825648245,0.0005
20,0.3701229382886444,0.9970567683711842,0.0005
21,0.3587567680667894,1.0005169474212816,0.0005
22,0.3564384888370036,1.0198919733143386,0.00025
23,0.346808194591288,1.017098114847175,0.00025
24,0.34259758795747625,1.0146644430675542,0.00025
25,0.3450632012421588,1.0241338953625556,0.00025
26,0.34581051534829793,1.0088829061838502,0.00025
27,0.33504695737608065,1.0152718298632044,0.000125
28,0.3332806852798139,1.0078372520219459,0.000125
29,0.33963429535458756,1.014257284812051,0.000125
30,0.33117463573538136,1.008030526464878,0.000125
31,0.33162158521051605,1.0066934431065395,0.000125
32,0.33825619035238363,1.012363936130043,6.25e-05
33,0.32527742323307607,1.0094782079250304,6.25e-05
34,0.3232960488471976,1.0101754811888966,6.25e-05
35,0.32638573452443964,1.0129717501848103,6.25e-05
36,0.3310329428584915,1.0119557578988434,6.25e-05
37,0.32646437234536885,1.0137530418007659,3.125e-05
