mean_error_km,median_error_km,p90_error_km,p95_error_km,stationary_error_mean_km,fly_error_mean_km,migration50_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,gated_fly_error_mean_km,gated_migration50_error_mean_km,fly_threshold,fly_tp,fly_fp,fly_tn,fly_fn,fly_accuracy,fly_precision,fly_recall,fly_specificity,fly_f1,fly_false_positive_rate,model,best_epoch,best_val_loss,train_samples,test_samples,params,k,weather,runtime_seconds,model_name
31.28786849975586,21.290021896362305,59.658451080322266,95.72600555419922,20.645118713378906,68.52096557617188,96.60133361816406,77.07313537597656,58.46821975708008,158.0093994140625,188.50155639648438,21.59847068786621,85.19662475585938,97.8459243774414,0.8,400,106,2147,244,0.8791853641698308,0.7905138339920948,0.6211180124223602,0.9529516200621394,0.6956521739130435,0.04704837993786063,triline_lstm_2l_k7,13,2.378805378777922,9419,2897,341956,7,with_weather,59.69832801818848,triline_lstm_2l
21.71539306640625,7.676774024963379,58.37981033325195,92.05589294433594,9.526535987854004,64.35746765136719,90.28787231445312,67.7811508178711,52.09425735473633,141.034912109375,174.3304443359375,9.428506851196289,78.75023651123047,90.31170654296875,0.6000000000000001,439,171,2082,205,0.8702105626510183,0.719672131147541,0.6816770186335404,0.9241011984021305,0.7001594896331739,0.0758988015978695,triline_lstm_4l_k7,7,2.4114856915840988,9419,2897,2235460,7,with_weather,113.13959169387817,triline_lstm_4l
25.44910430908203,13.560925483703613,63.48120880126953,95.24769592285156,14.155223846435547,64.96015167236328,89.25556945800781,73.23123168945312,59.87269592285156,140.693603515625,166.56903076171875,14.526899337768555,79.54378509521484,87.82205200195312,0.7000000000000001,410,129,2124,234,0.8746979634104246,0.7606679035250464,0.6366459627329193,0.9427430093209055,0.6931530008453085,0.05725699067909454,triline_transformer_v2_k7,23,2.509723604898186,9419,2897,3291460,7,with_weather,134.08399844169617,triline_transformer_v2
31.8227596282959,21.63161849975586,62.477638244628906,95.8692626953125,20.966514587402344,69.11803436279297,93.38594055175781,74.13123321533203,56.337181091308594,150.6889190673828,183.5301513671875,21.184736251831055,82.30863952636719,93.01319885253906,0.7000000000000001,405,119,1901,183,0.88420245398773,0.7729007633587787,0.6887755102040817,0.941089108910891,0.7284172661870504,0.05891089108910891,triline_lstm_2l_k14,10,2.343839714863549,8611,2608,341956,14,with_weather,50.864723682403564,triline_lstm_2l
20.710107803344727,5.644123077392578,58.480072021484375,95.99064636230469,7.235124111175537,67.00172424316406,93.69747924804688,66.65869140625,47.024200439453125,146.80728149414062,179.10630798339844,7.039834022521973,80.2127456665039,94.01652526855469,0.6500000000000001,424,174,1846,164,0.870398773006135,0.7090301003344481,0.7210884353741497,0.9138613861386139,0.715008431703204,0.08613861386138613,triline_lstm_4l_k14,9,2.37333271108522,8611,2608,2235460,14,with_weather,38.220815896987915,triline_lstm_4l
29.622032165527344,18.648576736450195,63.627197265625,100.04683685302734,17.962501525878906,69.67688751220703,95.91565704345703,71.86046600341797,55.688350677490234,152.05673217773438,187.2968292236328,17.728851318359375,84.06950378417969,96.83323669433594,0.6500000000000001,414,159,1861,174,0.8723159509202454,0.7225130890052356,0.7040816326530612,0.9212871287128713,0.7131782945736435,0.07871287128712871,triline_transformer_v2_k14,43,2.4764218271875675,8611,2608,3293252,14,with_weather,60.19618010520935,triline_transformer_v2
28.278240203857422,18.180526733398438,58.41254425048828,86.37601470947266,18.46417999267578,64.33866882324219,89.57797241210938,70.96349334716797,55.31770706176758,137.01702880859375,177.2537841796875,18.057825088500977,80.20420837402344,91.87286376953125,0.7500000000000001,277,114,1477,156,0.866600790513834,0.7084398976982097,0.6397228637413395,0.9283469516027656,0.6723300970873787,0.07165304839723445,triline_lstm_2l_k30,11,2.5020873998935986,6899,2024,341956,30,with_weather,15.354100704193115,triline_lstm_2l
21.974544525146484,8.677838325500488,52.429439544677734,85.3305435180664,10.831876754760742,62.91676712036133,91.80572509765625,64.81591796875,45.97850036621094,138.96273803710938,177.84521484375,9.761351585388184,77.59469604492188,93.92825317382812,0.6500000000000001,300,149,1442,133,0.8606719367588933,0.6681514476614699,0.6928406466512702,0.9063482086737901,0.6802721088435374,0.09365179132620993,triline_lstm_4l_k30,9,2.5654626439211397,6899,2024,2235460,30,with_weather,31.056864261627197,triline_lstm_4l
23.013378143310547,9.608739852905273,58.3040657043457,90.09449005126953,11.600454330444336,64.9486312866211,93.47415161132812,65.52030944824219,48.766849517822266,139.23851013183594,173.0015869140625,9.834854125976562,79.3541259765625,93.9702377319336,0.6500000000000001,301,178,1413,132,0.8468379446640316,0.6283924843423799,0.6951501154734411,0.8881206788183532,0.6600877192982456,0.11187932118164676,triline_transformer_v2_k30,20,2.6617342511655786,6899,2024,3297348,30,with_weather,35.06897497177124,triline_transformer_v2
30.01679229736328,19.856189727783203,58.70293426513672,91.19063568115234,19.515844345092773,66.75379943847656,92.55533599853516,71.39002990722656,55.783451080322266,146.87722778320312,177.08377075195312,19.726980209350586,78.44200897216797,91.02669525146484,0.7000000000000001,443,134,2119,201,0.8843631342768381,0.7677642980935875,0.687888198757764,0.9405237461162894,0.7256347256347256,0.05947625388371061,triline_lstm_2l_k7,9,2.2899531932958537,9419,2897,340932,7,without_weather,19.27021050453186,triline_lstm_2l
