path_id,source_individual_local_identifier,path_year,path_copy_index,corridor_rows,path_rows,north_anchor_date,south_anchor_date,north_anchor_lat,south_anchor_lat,north_anchor_lon,south_anchor_lon,lat_drop_deg
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,2016-07-19 00:00:00+00:00,2016-10-13 00:00:00+00:00,48.4086121,36.2231736,7.8642952,-5.8711091,12.185438499999997
Angela_DER_AY470_eobs_4001__2018__southbound_01,Angela / DER AY470 (eobs 4001),2018,1,212,138,2018-06-26 00:00:00+00:00,2018-11-10 00:00:00+00:00,48.2297493,36.2285037,7.7395224,-5.8544406,12.001245600000004
Angela_DER_AY470_eobs_4001__2019__southbound_01,Angela / DER AY470 (eobs 4001),2019,1,207,185,2019-06-19 00:00:00+00:00,2019-12-26 00:00:00+00:00,48.2204565,38.9345508,7.745378,-5.7213495,9.2859057
Angela_DER_AY470_eobs_4001__2020__southbound_01,Angela / DER AY470 (eobs 4001),2020,1,199,93,2020-06-20 00:00:00+00:00,2020-09-20 00:00:00+00:00,48.1524172,36.284087,7.7309597,-5.9409112,11.868330200000003
Angela_DER_AY470_eobs_4001__2022__southbound_01,Angela / DER AY470 (eobs 4001),2022,1,197,73,2022-06-09 00:00:00+00:00,2022-08-20 00:00:00+00:00,48.1519085,36.5685474,7.7492872,-6.1475794,11.583361099999998
Angela_DER_AY470_eobs_4001__2023__southbound_01,Angela / DER AY470 (eobs 4001),2023,1,172,66,2023-07-24 00:00:00+00:00,2023-09-27 00:00:00+00:00,48.186889,36.573646,7.7478763,-6.1162516,11.613243000000004
Balou_plus_DER_AN916_eobs_3913__2014__southbound_01,Balou + / DER AN916 (eobs 3913),2014,1,115,51,2014-08-07 00:00:00+00:00,2014-09-26 00:00:00+00:00,47.774307750000006,40.15867325,8.92044345,-1.93098445,7.615634500000006
Bubbel_plus_DER_AN873_eobs_3666__2014__southbound_01,Bubbel + / DER AN873 (eobs 3666),2014,1,208,106,2014-07-20 00:00:00+00:00,2014-11-06 00:00:00+00:00,47.8242761,36.2098077,8.8809949,-5.7738054,11.6144684
Charlie_plus_DER_A4M63_eobs_6588__2018__southbound_01,Charlie + / DER A4M63 (eobs 6588),2018,1,168,81,2018-07-30 00:00:00+00:00,2018-10-18 00:00:00+00:00,47.8197767,37.4409563,8.9504571,-5.9827142,10.378820399999995
Chompy_plus_DER_AN871_eobs3647__2014__southbound_01,Chompy + / DER AN871 (eobs3647),2014,1,203,55,2014-07-27 00:00:00+00:00,2014-09-19 00:00:00+00:00,47.8254873,36.4127012,8.8826948,-6.1099399000000005,11.412786099999998
Conchito_plus_DER_AU005_eobs_3927__2014__southbound_01,Conchito + / DER AU005 (eobs 3927),2014,1,196,101,2014-08-08 00:00:00+00:00,2014-11-16 00:00:00+00:00,47.8096962,36.2109818,8.89488195,-5.77032615,11.598714399999999
Eamy_plus_DER_AL585_eobs3063__2013__southbound_01,Eamy + / DER AL585 (eobs3063),2013,1,191,144,2013-08-09 00:00:00+00:00,2013-12-30 00:00:00+00:00,47.77266585,34.2704906,9.24023935,-6.5533711,13.50217525
Ed_plus_AAL16_e-obs_7210__2021__southbound_01,"Ed + (AAL16, e-obs 7210)",2021,1,191,117,2021-07-23 00:00:00+00:00,2021-11-16 00:00:00+00:00,47.6932465,37.153416,7.6138409,-5.954746050000001,10.5398305
Emil_plus_DER_AV348_eobs_4001__2015__southbound_01,Emil + / DER AV348 (eobs 4001),2015,1,161,83,2015-07-21 00:00:00+00:00,2015-10-11 00:00:00+00:00,47.69918785,41.5369452,7.6307594,0.5299356,6.162242650000003
Europa_DER_A1A26_eobs_4004__2017__southbound_01,Europa / DER A1A26 (eobs 4004),2017,1,187,115,2017-06-21 00:00:00+00:00,2017-10-13 00:00:00+00:00,47.69324205,30.2128839,7.626836600000001,-9.2863123,17.48035815
Europa_DER_A1A26_eobs_4004__2018__southbound_01,Europa / DER A1A26 (eobs 4004),2018,1,178,62,2018-07-14 00:00:00+00:00,2018-09-13 00:00:00+00:00,47.6922303,37.7947033,7.6159772,-4.741675,9.897526999999997
