threshold,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,balanced_accuracy,roc_auc,pr_auc
0.0008079145918600261,126,1662,0,0,0.07046979865771812,0.07046979865771812,1.0,0.0,0.13166144200626959,1.0,0.0,0.5,0.8173695872251828,0.35979075384465936
0.0022550496249459685,126,1644,18,0,0.08053691275167785,0.0711864406779661,1.0,0.010830324909747292,0.1329113924050633,0.9891696750902527,0.0,0.5054151624548736,0.8173695872251828,0.35979075384465936
0.024045334719121455,126,1626,36,0,0.09060402684563758,0.07191780821917808,1.0,0.021660649819494584,0.134185303514377,0.9783393501805054,0.0,0.5108303249097473,0.8173695872251828,0.35979075384465936
0.04339891701936722,126,1608,54,0,0.10067114093959731,0.0726643598615917,1.0,0.032490974729241874,0.13548387096774195,0.9675090252707581,0.0,0.516245487364621,0.8173695872251828,0.35979075384465936
0.062298326492309576,126,1590,72,0,0.11073825503355705,0.07342657342657342,1.0,0.04332129963898917,0.13680781758957655,0.9566787003610109,0.0,0.5216606498194946,0.8173695872251828,0.35979075384465936
0.08364364616572857,126,1572,90,0,0.12080536912751678,0.07420494699646643,1.0,0.05415162454873646,0.1381578947368421,0.9458483754512635,0.0,0.5270758122743683,0.8173695872251828,0.35979075384465936
0.09630414754152299,125,1555,107,1,0.1297539149888143,0.0744047619047619,0.9920634920634921,0.06438026474127558,0.13842746400885936,0.9356197352587244,0.007936507936507936,0.5282218784023839,0.8173695872251828,0.35979075384465936
0.11557982951402668,125,1537,125,1,0.13982102908277405,0.07521058965102287,0.9920634920634921,0.07521058965102287,0.13982102908277405,0.9247894103489771,0.007936507936507936,0.5336370408572575,0.8173695872251828,0.35979075384465936
0.13913313508033753,124,1521,141,2,0.14821029082774048,0.07537993920972644,0.9841269841269841,0.08483754512635379,0.14003387916431392,0.9151624548736462,0.015873015873015872,0.5344822646266689,0.8173695872251828,0.35979075384465936
0.1607241220772266,124,1503,159,2,0.15827740492170023,0.0762138905961893,0.9841269841269841,0.09566787003610108,0.1414717626925271,0.9043321299638989,0.015873015873015872,0.5398974270815425,0.8173695872251828,0.35979075384465936
0.1786137878894806,124,1485,177,2,0.16834451901565994,0.07706650093225606,0.9841269841269841,0.10649819494584838,0.1429394812680115,0.8935018050541517,0.015873015873015872,0.5453125895364163,0.8173695872251828,0.35979075384465936
0.19796157464385034,124,1467,195,2,0.1784116331096197,0.07793840351979887,0.9841269841269841,0.11732851985559567,0.14443797320908563,0.8826714801444043,0.015873015873015872,0.5507277519912899,0.8173695872251828,0.35979075384465936
0.2178000885248184,124,1449,213,2,0.1884787472035794,0.07883026064844247,0.9841269841269841,0.12815884476534295,0.14596821659799883,0.871841155234657,0.015873015873015872,0.5561429144461635,0.8173695872251828,0.35979075384465936
0.2371409121155739,124,1431,231,2,0.19854586129753915,0.0797427652733119,0.9841269841269841,0.13898916967509026,0.14753123140987506,0.8610108303249098,0.015873015873015872,0.5615580769010372,0.8173695872251828,0.35979075384465936
0.2469562309980393,124,1413,249,2,0.2086129753914989,0.08067664281067013,0.9841269841269841,0.14981949458483754,0.14912808177991582,0.8501805054151624,0.015873015873015872,0.5669732393559108,0.8173695872251828,0.35979075384465936
0.2672909036278725,122,1397,265,4,0.21644295302013422,0.08031599736668861,0.9682539682539683,0.15944645006016847,0.14832826747720365,0.8405535499398316,0.031746031746031744,0.5638502091570684,0.8173695872251828,0.35979075384465936
0.2902094089984894,122,1380,282,4,0.22595078299776286,0.08122503328894808,0.9682539682539683,0.16967509025270758,0.1498771498771499,0.8303249097472925,0.031746031746031744,0.568964529253338,0.8173695872251828,0.35979075384465936
0.33531891137361536,121,1363,299,5,0.2348993288590604,0.08153638814016173,0.9603174603174603,0.17990373044524668,0.15031055900621118,0.8200962695547533,0.03968253968253968,0.5701105953813536,0.8173695872251828,0.35979075384465936
0.36221264660358427,120,1346,316,6,0.24384787472035793,0.08185538881309687,0.9523809523809523,0.1901323706377858,0.15075376884422112,0.8098676293622142,0.047619047619047616,0.571256661509369,0.8173695872251828,0.35979075384465936
0.39697154909372334,120,1328,334,6,0.2539149888143177,0.08287292817679558,0.9523809523809523,0.2009626955475331,0.15247776365946633,0.7990373044524669,0.047619047619047616,0.5766718239642428,0.8173695872251828,0.35979075384465936
0.43187974691390996,120,1310,352,6,0.2639821029082774,0.08391608391608392,0.9523809523809523,0.21179302045728038,0.15424164524421594,0.7882069795427196,0.047619047619047616,0.5820869864191164,0.8173695872251828,0.35979075384465936
0.4696115526556968,119,1293,369,7,0.27293064876957496,0.08427762039660057,0.9444444444444444,0.22202166064981949,0.1547464239271782,0.7779783393501805,0.05555555555555555,0.583233052547132,0.8173695872251828,0.35979075384465936
0.5229580855369568,118,1276,386,8,0.28187919463087246,0.08464849354375897,0.9365079365079365,0.2322503008423586,0.15526315789473685,0.7677496991576414,0.06349206349206349,0.5843791186751476,0.8173695872251828,0.35979075384465936
0.5489741599559784,117,1259,403,9,0.29082774049217003,0.08502906976744186,0.9285714285714286,0.24247894103489773,0.15579227696404793,0.7575210589651022,0.07142857142857142,0.5855251848031632,0.8173695872251828,0.35979075384465936
0.5792382693290711,117,1242,420,9,0.30033557046979864,0.08609271523178808,0.9285714285714286,0.2527075812274368,0.1575757575757576,0.7472924187725631,0.07142857142857142,0.5906395048994327,0.8173695872251828,0.35979075384465936
0.6202752441167831,116,1225,437,10,0.3092841163310962,0.08650260999254288,0.9206349206349206,0.2629362214199759,0.15814587593728696,0.737063778580024,0.07936507936507936,0.5917855710274482,0.8173695872251828,0.35979075384465936
0.6466971397399902,116,1207,455,10,0.3193512304250559,0.08767951625094482,0.9206349206349206,0.27376654632972325,0.1601104209799862,0.7262334536702768,0.07936507936507936,0.5972007334823219,0.8173695872251828,0.35979075384465936
0.6804320853948593,116,1189,473,10,0.32941834451901564,0.08888888888888889,0.9206349206349206,0.28459687123947053,0.16212438853948288,0.7154031287605295,0.07936507936507936,0.6026158959371956,0.8173695872251828,0.35979075384465936
0.7019318795204162,116,1171,491,10,0.3394854586129754,0.09013209013209013,0.9206349206349206,0.2954271961492178,0.16418966737438073,0.7045728038507821,0.07936507936507936,0.6080310583920692,0.8173695872251828,0.35979075384465936
0.7341966342926026,116,1153,509,10,0.3495525727069351,0.09141055949566587,0.9206349206349206,0.3062575210589651,0.16630824372759856,0.6937424789410349,0.07936507936507936,0.6134462208469429,0.8173695872251828,0.35979075384465936
0.7619317650794983,115,1136,526,11,0.35850111856823264,0.09192645883293366,0.9126984126984127,0.3164861612515042,0.16702977487291212,0.6835138387484958,0.0873015873015873,0.6145922869749585,0.8173695872251828,0.35979075384465936
0.7960232406854629,114,1120,542,12,0.3668903803131991,0.09238249594813615,0.9047619047619048,0.32611311672683513,0.16764705882352943,0.6738868832731648,0.09523809523809523,0.6154375107443699,0.8173695872251828,0.35979075384465936
0.8439174103736877,113,1103,559,13,0.37583892617449666,0.09292763157894737,0.8968253968253969,0.33634175691937424,0.16840536512667661,0.6636582430806257,0.10317460317460317,0.6165835768723855,0.8173695872251828,0.35979075384465936
0.8878447473049165,113,1085,577,13,0.3859060402684564,0.09432387312186978,0.8968253968253969,0.3471720818291215,0.1706948640483384,0.6528279181708785,0.10317460317460317,0.6219987393272592,0.8173695872251828,0.35979075384465936
0.8957602348821819,113,1082,580,13,0.3875838926174497,0.09456066945606695,0.8968253968253969,0.3489771359807461,0.17108251324753973,0.6510228640192539,0.10317460317460317,0.6229012664030715,0.8173695872251828,0.35979075384465936
0.9228883922100067,113,1067,595,13,0.3959731543624161,0.09576271186440678,0.8968253968253969,0.35800240673886885,0.17304747320061256,0.6419975932611311,0.10317460317460317,0.6274139017821329,0.8173695872251828,0.35979075384465936
0.9687827527523044,113,1049,613,13,0.40604026845637586,0.0972461273666093,0.8968253968253969,0.36883273164861613,0.1754658385093168,0.6311672683513839,0.10317460317460317,0.6328290642370065,0.8173695872251828,0.35979075384465936
1.00681854724884,113,1031,631,13,0.4161073825503356,0.09877622377622378,0.8968253968253969,0.3796630565583634,0.17795275590551182,0.6203369434416366,0.10317460317460317,0.6382442266918802,0.8173695872251828,0.35979075384465936
1.0539795219898223,111,1015,647,15,0.42393736017897093,0.09857904085257549,0.8809523809523809,0.38929001203369434,0.17731629392971246,0.6107099879663056,0.11904761904761904,0.6351211964930377,0.8173695872251828,0.35979075384465936
1.0934342670440675,111,997,665,15,0.43400447427293065,0.10018050541516245,0.8809523809523809,0.4001203369434416,0.179902755267423,0.5998796630565584,0.11904761904761904,0.6405363589479113,0.8173695872251828,0.35979075384465936
1.1309849119186404,111,980,682,15,0.44351230425055926,0.10174152153987168,0.8809523809523809,0.41034897713598073,0.18241577649958915,0.5896510228640193,0.11904761904761904,0.6456506790441808,0.8173695872251828,0.35979075384465936
1.1663602113723757,111,962,700,15,0.45357941834451904,0.10344827586206896,0.8809523809523809,0.42117930204572807,0.18515429524603838,0.5788206979542719,0.11904761904761904,0.6510658414990544,0.8173695872251828,0.35979075384465936
1.2246510696411133,111,944,718,15,0.46364653243847875,0.1052132701421801,0.8809523809523809,0.43200962695547535,0.18797629127857748,0.5679903730445247,0.11904761904761904,0.6564810039539282,0.8173695872251828,0.35979075384465936
1.3019916510581964,110,927,735,16,0.47259507829977626,0.10607521697203472,0.873015873015873,0.44223826714801445,0.1891659501289768,0.5577617328519856,0.12698412698412698,0.6576270700819438,0.8173695872251828,0.35979075384465936
1.3818463647365569,110,909,753,16,0.48266219239373603,0.10794896957801767,0.873015873015873,0.45306859205776173,0.19213973799126638,0.5469314079422383,0.12698412698412698,0.6630422325368174,0.8173695872251828,0.35979075384465936
1.4573494434356689,110,891,771,16,0.49272930648769575,0.10989010989010989,0.873015873015873,0.463898916967509,0.19520851818988463,0.5361010830324909,0.12698412698412698,0.668457394991691,0.8173695872251828,0.35979075384465936
1.5219475269317626,110,873,789,16,0.5027964205816555,0.11190233977619532,0.873015873015873,0.4747292418772563,0.19837691614066727,0.5252707581227437,0.12698412698412698,0.6738725574465647,0.8173695872251828,0.35979075384465936
1.5823731231689453,109,856,806,17,0.511744966442953,0.11295336787564766,0.8650793650793651,0.48495788206979545,0.1998166819431714,0.5150421179302046,0.1349206349206349,0.6750186235745803,0.8173695872251828,0.35979075384465936
1.6502373087406172,109,839,823,17,0.5212527964205816,0.1149789029535865,0.8650793650793651,0.49518652226233456,0.20297951582867785,0.5048134777376655,0.1349206349206349,0.6801329436708499,0.8173695872251828,0.35979075384465936
1.7267724180221558,109,821,841,17,0.5313199105145414,0.11720430107526882,0.8650793650793651,0.5060168471720818,0.20643939393939392,0.49398315282791816,0.1349206349206349,0.6855481061257235,0.8173695872251828,0.35979075384465936
1.7907125551725038,109,803,859,17,0.5413870246085011,0.11951754385964912,0.8650793650793651,0.5168471720818292,0.21001926782273606,0.4831528279181709,0.1349206349206349,0.6909632685805971,0.8173695872251828,0.35979075384465936
1.7910735189914704,109,803,859,17,0.5413870246085011,0.11951754385964912,0.8650793650793651,0.5168471720818292,0.21001926782273606,0.4831528279181709,0.1349206349206349,0.6909632685805971,0.8173695872251828,0.35979075384465936
1.8658519983291626,107,787,875,19,0.5492170022371364,0.11968680089485459,0.8492063492063492,0.52647412755716,0.20980392156862743,0.47352587244283995,0.15079365079365079,0.6878402383817546,0.8173695872251828,0.35979075384465936
1.9550087988376617,107,769,893,19,0.5592841163310962,0.12214611872146118,0.8492063492063492,0.5373044524669074,0.21357285429141715,0.46269554753309267,0.15079365079365079,0.6932554008366283,0.8173695872251828,0.35979075384465936
2.047342233657837,107,751,911,19,0.569351230425056,0.1247086247086247,0.8492063492063492,0.5481347773766546,0.21747967479674793,0.4518652226233454,0.15079365079365079,0.6986705632915019,0.8173695872251828,0.35979075384465936
2.14058479309082,107,733,929,19,0.5794183445190156,0.12738095238095237,0.8492063492063492,0.558965102286402,0.22153209109730845,0.44103489771359805,0.15079365079365079,0.7040857257463755,0.8173695872251828,0.35979075384465936
2.224229865074158,106,717,945,20,0.5878076062639821,0.12879708383961117,0.8412698412698413,0.5685920577617328,0.2233930453108535,0.4314079422382672,0.15873015873015872,0.704930949515787,0.8173695872251828,0.35979075384465936
2.332098865509033,106,699,963,20,0.5978747203579419,0.13167701863354037,0.8412698412698413,0.5794223826714802,0.22771213748657357,0.42057761732851984,0.15873015873015872,0.7103461119706607,0.8173695872251828,0.35979075384465936
2.4178501892089894,106,681,981,20,0.6079418344519015,0.13468869123252858,0.8412698412698413,0.5902527075812274,0.23220153340635266,0.40974729241877256,0.15873015873015872,0.7157612744255344,0.8173695872251828,0.35979075384465936
2.52998165845871,106,663,999,20,0.6180089485458613,0.1378413524057217,0.8412698412698413,0.6010830324909747,0.23687150837988827,0.3989169675090253,0.15873015873015872,0.721176436880408,0.8173695872251828,0.35979075384465936
2.658085885047913,106,645,1017,20,0.6280760626398211,0.1411451398135819,0.8412698412698413,0.6119133574007221,0.241733181299886,0.388086642599278,0.15873015873015872,0.7265915993352816,0.8173695872251828,0.35979075384465936
2.685664875462826,106,642,1020,20,0.6297539149888143,0.14171122994652408,0.8412698412698413,0.6137184115523465,0.24256292906178492,0.3862815884476534,0.15873015873015872,0.7274941264110939,0.8173695872251828,0.35979075384465936
2.793898959159851,106,627,1035,20,0.6381431767337807,0.1446111869031378,0.8412698412698413,0.6227436823104693,0.24679860302677534,0.37725631768953066,0.15873015873015872,0.7320067617901553,0.8173695872251828,0.35979075384465936
2.9340797424316407,106,609,1053,20,0.6482102908277405,0.14825174825174825,0.8412698412698413,0.6335740072202166,0.25208085612366227,0.3664259927797834,0.15873015873015872,0.737421924245029,0.8173695872251828,0.35979075384465936
3.059299585819244,106,591,1071,20,0.6582774049217002,0.15208034433285508,0.8412698412698413,0.644404332129964,0.25759416767922233,0.3555956678700361,0.15873015873015872,0.7428370866999026,0.8173695872251828,0.35979075384465936
3.1839198780059816,106,574,1088,20,0.6677852348993288,0.15588235294117647,0.8412698412698413,0.6546329723225031,0.2630272952853598,0.345367027677497,0.15873015873015872,0.7479514067961721,0.8173695872251828,0.35979075384465936
3.3145613813400265,106,556,1106,20,0.6778523489932886,0.16012084592145015,0.8412698412698413,0.6654632972322503,0.26903553299492383,0.3345367027677497,0.15873015873015872,0.7533665692510458,0.8173695872251828,0.35979075384465936
3.4846127510070803,106,538,1124,20,0.6879194630872483,0.16459627329192547,0.8412698412698413,0.6762936221419976,0.27532467532467536,0.3237063778580024,0.15873015873015872,0.7587817317059194,0.8173695872251828,0.35979075384465936
3.5806171957531476,105,531,1131,21,0.6912751677852349,0.1650943396226415,0.8333333333333334,0.6805054151624549,0.2755905511811023,0.3194945848375451,0.16666666666666666,0.7569193742478941,0.8173695872251828,0.35979075384465936
