epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,test_loss,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,fixed_false_positive_rate,lr
1,2.349027104665854,0.862745600381937,1.3621546856291535,0.5554996371221631,2.068254934719993,0.7924427887174029,0.22269807280513917,0.7938931297709924,0.34782608695652173,0.20766590389016018,0.001
2,2.0016133657058948,0.7055808268457706,1.146739436300124,0.5020835044093991,1.774841857819306,0.9105907397551889,0.4170403587443946,0.7099236641221374,0.5254237288135594,0.07437070938215103,0.001
3,1.8412319832035986,0.6283914719708016,1.0501518119895017,0.4768844311196721,1.7347542554409723,0.893560404470463,0.3688212927756654,0.7404580152671756,0.4923857868020305,0.09496567505720824,0.001
4,1.7607433074390695,0.5965780415114869,1.013958326942717,0.4484959506817184,1.6695587935759832,0.8983501862692922,0.38461538461538464,0.7633587786259542,0.5115089514066496,0.09153318077803203,0.001
5,1.6883834954237158,0.5925181466339432,0.9932173255405624,0.3989071009607749,1.7009293967704306,0.9015433741351783,0.39285714285714285,0.7557251908396947,0.5169712793733682,0.08752860411899313,0.001
6,1.706956078912909,0.578216126014617,1.0002490445150478,0.4175989816472478,1.6437593835538344,0.8962213943587014,0.3805970149253731,0.7786259541984732,0.5112781954887218,0.09496567505720824,0.001
7,1.6803507355575014,0.5667290214071383,0.9662278927416442,0.43075833394072427,1.6363676826391784,0.8914316125598722,0.36823104693140796,0.7786259541984732,0.5,0.10011441647597254,0.001
8,1.6363818365619447,0.568416273035456,0.9600628518918616,0.39211084766847387,1.6161785290684074,0.8775944651410325,0.3438485804416404,0.8320610687022901,0.4866071428571429,0.11899313501144165,0.001
9,1.624608083770159,0.5556220005556152,0.9469888719561762,0.39980820379804227,1.6479977451784298,0.9159127195316658,0.43946188340807174,0.7480916030534351,0.5536723163841808,0.07151029748283753,0.001
10,1.5984062039220717,0.55584360137562,0.9498547743792733,0.3706296236512824,1.6659167463821323,0.8807876530069185,0.34551495016611294,0.7938931297709924,0.48148148148148145,0.11270022883295194,0.001
11,1.5823349639206197,0.5492700350421015,0.9470917961843032,0.36060815573627086,1.6611603170458848,0.8994145822245876,0.3875968992248062,0.7633587786259542,0.5141388174807198,0.09038901601830664,0.001
12,1.5520357708998236,0.5481604811895836,0.9365424321533551,0.3414130858404699,1.6792917250318056,0.8536455561468866,0.3,0.8244274809160306,0.4399185336048879,0.14416475972540047,0.001
13,1.5532951572647684,0.5401228908325466,0.9395746176852677,0.34365910040608805,1.6646967028099657,0.8919638105375199,0.3741258741258741,0.816793893129771,0.513189448441247,0.10240274599542334,0.0005
14,1.4860502346608433,0.5209994654500615,0.9103792712096366,0.3151712391504684,1.6600192427444864,0.8738690792974987,0.3322784810126582,0.8015267175572519,0.46979865771812085,0.12070938215102975,0.0005
15,1.4695866177746486,0.5154056604440966,0.8947179093302517,0.31716588385440836,1.6396009059203565,0.9026077700904737,0.3984375,0.7786259541984732,0.5271317829457365,0.08810068649885583,0.0005
16,1.4401402481382186,0.5022129613825829,0.8958821698075315,0.2931515969016751,1.6807488872371752,0.9063331559340074,0.40816326530612246,0.7633587786259542,0.5319148936170214,0.08295194508009153,0.0005
17,1.4361766638005704,0.4965254106767831,0.8788420562100658,0.3090719068688156,1.6713237581004357,0.8908994145822245,0.36971830985915494,0.8015267175572519,0.5060240963855421,0.10240274599542334,0.0005
18,1.4285278491654039,0.5081254931199986,0.885640499421755,0.28882459241927605,1.743049859112409,0.8706758914316126,0.32608695652173914,0.8015267175572519,0.4635761589403974,0.12414187643020595,0.00025
