accuracy,balanced_accuracy,f1,false_negative_rate,false_positive_rate,feature_columns,fixed_0_5_accuracy,fixed_0_5_balanced_accuracy,fixed_0_5_f1,fixed_0_5_false_negative_rate,fixed_0_5_false_positive_rate,fixed_0_5_fn,fixed_0_5_fp,fixed_0_5_pr_auc,fixed_0_5_precision,fixed_0_5_recall,fixed_0_5_roc_auc,fixed_0_5_specificity,fixed_0_5_threshold,fixed_0_5_tn,fixed_0_5_tp,fn,fp,group_column,identity_column,k,model,n_features,pr_auc,precision,recall,roc_auc,selected_threshold,specificity,split_mode,test_fly_rate,test_samples,threshold,tn,tp,train_fly_rate,train_samples
0.9299229152067274,0.8637666405638215,0.7005988023952096,0.22,0.052466718872357085,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",0.9011913104414856,0.8800730879665883,0.6448362720403022,0.14666666666666667,0.09318715740015662,22,119,0.6770676867005718,0.5182186234817814,0.8533333333333334,0.9334273035760898,0.9068128425998434,0.5,1158,128,33,67,path_id,source_individual_local_identifier,10,logistic_regression_balanced,10,0.6770676867005718,0.6358695652173914,0.78,0.9334273035760898,0.6755583943714957,0.9475332811276429,chronological,0.1051156297326088,1427,0.6755583943714957,1210,117,0.13174492120742798,5708
0.9432375613174492,0.885914904724615,0.7507692307692309,0.18666666666666668,0.04150352388410337,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",0.9432375613174492,0.8211955103106239,0.7117437722419929,0.3333333333333333,0.02427564604541895,50,31,0.7902003525002772,0.7633587786259542,0.6666666666666666,0.9547559383972853,0.975724353954581,0.5,1246,100,28,53,path_id,source_individual_local_identifier,10,random_forest_balanced,10,0.7902003525002772,0.6971428571428572,0.8133333333333334,0.9547559383972853,0.3270651914051588,0.9584964761158966,chronological,0.1051156297326088,1427,0.3270651914051588,1224,122,0.13174492120742798,5708
0.9243167484232656,0.8212175888799786,0.6949152542372882,0.31666666666666665,0.0408981555733761,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",0.8780658724597057,0.8375367548783748,0.6184210526315789,0.21666666666666667,0.1082598235765838,39,135,0.6930977096635375,0.5108695652173914,0.7833333333333333,0.8997104161097745,0.8917401764234162,0.5,1112,141,57,51,path_id,source_individual_local_identifier,10,logistic_regression_balanced,10,0.6930977096635375,0.7068965517241379,0.6833333333333333,0.8997104161097745,0.7200334812118508,0.9591018444266239,stratified,0.12613874673843384,1427,0.7200334812118508,1196,123,0.12648913264274597,5708
0.9306236860546602,0.8581016662211529,0.7345844504021448,0.2388888888888889,0.04490777866880513,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",0.9313244569025928,0.8109663191659984,0.7048192771084337,0.35,0.028067361668003207,63,35,0.7484694834674832,0.7697368421052632,0.65,0.9383631827497104,0.9719326383319968,0.5,1212,117,43,56,path_id,source_individual_local_identifier,10,random_forest_balanced,10,0.7484694834674832,0.7098445595854922,0.7611111111111111,0.9383631827497104,0.3629479919998839,0.9550922213311949,stratified,0.12613874673843384,1427,0.3629479919998839,1191,137,0.12648913264274597,5708
0.9288,0.8269931726090255,0.6962457337883959,0.30612244897959184,0.03989120580235721,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",0.88,0.8494581876268186,0.6134020618556701,0.19047619047619047,0.11060743427017226,28,122,0.6691064274851765,0.49377593360995853,0.8095238095238095,0.9111822426159948,0.8893925657298277,0.5,981,119,45,44,path_id,source_individual_local_identifier,20,logistic_regression_balanced,10,0.6691064274851765,0.6986301369863014,0.6938775510204082,0.9111822426159948,0.8250501106962143,0.9601087941976428,chronological,0.11760000139474869,1250,0.8250501106962143,1059,102,0.12102420628070831,4999
0.9336,0.9004662608470405,0.7522388059701492,0.14285714285714285,0.056210335448776065,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",0.9408,0.8072603474753455,0.7153846153846154,0.3673469387755102,0.01813236627379873,54,20,0.7820161647320715,0.8230088495575221,0.6326530612244898,0.9547800988028937,0.9818676337262012,0.5,1083,93,21,62,path_id,source_individual_local_identifier,20,random_forest_balanced,10,0.7820161647320715,0.6702127659574468,0.8571428571428571,0.9547800988028937,0.2510066831237066,0.9437896645512239,chronological,0.11760000139474869,1250,0.2510066831237066,1041,126,0.12102420628070831,4999
0.9192,0.7986363636363636,0.6552901023890785,0.36,0.042727272727272725,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",0.8608,0.8172727272727273,0.5671641791044777,0.24,0.12545454545454546,36,138,0.6600756023539488,0.4523809523809524,0.76,0.896769696969697,0.8745454545454545,0.5,962,114,54,47,path_id,source_individual_local_identifier,20,logistic_regression_balanced,10,0.6600756023539488,0.6713286713286714,0.64,0.896769696969697,0.7451811392420155,0.9572727272727273,stratified,0.11999999731779099,1250,0.7451811392420155,1053,96,0.12042408436536789,4999
0.9232,0.8642424242424243,0.710843373493976,0.21333333333333335,0.05818181818181818,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",0.9288,0.7896969696969698,0.6715867158671587,0.3933333333333333,0.02727272727272727,59,30,0.7120215948703155,0.7520661157024794,0.6066666666666667,0.9107333333333334,0.9727272727272728,0.5,1070,91,32,64,path_id,source_individual_local_identifier,20,random_forest_balanced,10,0.7120215948703155,0.6483516483516484,0.7866666666666666,0.9107333333333334,0.264217749354895,0.9418181818181818,stratified,0.11999999731779099,1250,0.264217749354895,1036,118,0.12042408436536789,4999
0.9279112754158965,0.775378063998185,0.638888888888889,0.42016806722689076,0.029075804776739357,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",0.8696857670979667,0.8126347112053545,0.555205047318612,0.2605042016806723,0.1142263759086189,31,110,0.6042815465796452,0.4444444444444444,0.7394957983193278,0.8636177212317948,0.885773624091381,0.5,853,88,50,28,path_id,source_individual_local_identifier,30,logistic_regression_balanced,10,0.6042815465796452,0.711340206185567,0.5798319327731093,0.8636177212317948,0.890001476840665,0.9709241952232607,chronological,0.10998151451349258,1082,0.890001476840665,935,69,0.11552680283784866,4328
0.9353049907578558,0.8421337382304948,0.7107438016528925,0.2773109243697479,0.03842159916926272,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",0.9297597042513863,0.7285443772524587,0.5957446808510638,0.5294117647058824,0.013499480789200415,63,13,0.7536256137135509,0.8115942028985508,0.47058823529411764,0.9481749085927206,0.9865005192107996,0.5,950,56,33,37,path_id,source_individual_local_identifier,30,random_forest_balanced,10,0.7536256137135509,0.6991869918699187,0.7226890756302521,0.9481749085927206,0.33108484056769305,0.9615784008307373,chronological,0.10998151451349258,1082,0.33108484056769305,926,86,0.11552680283784866,4328
