threshold,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,balanced_accuracy,roc_auc,pr_auc
0.01600412279367447,204,1046,0,0,0.1632,0.1632,1.0,0.0,0.28060522696011003,1.0,0.0,0.5,0.9121349304540172,0.7404864542443303
0.020843551866710185,204,1035,11,0,0.172,0.16464891041162227,1.0,0.010516252390057362,0.28274428274428276,0.9894837476099426,0.0,0.5052581261950286,0.9121349304540172,0.7404864542443303
0.021517712026834487,204,1033,13,0,0.1736,0.16491511721907842,1.0,0.0124282982791587,0.2831367106176267,0.9875717017208413,0.0,0.5062141491395793,0.9121349304540172,0.7404864542443303
0.025068661011755467,204,1021,25,0,0.1832,0.16653061224489796,1.0,0.02390057361376673,0.2855143456962911,0.9760994263862333,0.0,0.5119502868068834,0.9121349304540172,0.7404864542443303
0.025682980939745904,204,1019,27,0,0.1848,0.1668029435813573,1.0,0.02581261950286807,0.28591450595655216,0.9741873804971319,0.0,0.512906309751434,0.9121349304540172,0.7404864542443303
0.02825809320434928,204,1008,38,0,0.1936,0.16831683168316833,1.0,0.036328871892925434,0.288135593220339,0.9636711281070746,0.0,0.5181644359464627,0.9121349304540172,0.7404864542443303
0.030522410012781623,204,999,47,0,0.2008,0.16957605985037408,1.0,0.044933078393881457,0.2899786780383795,0.9550669216061185,0.0,0.5224665391969407,0.9121349304540172,0.7404864542443303
0.03129375576972961,204,996,50,0,0.2032,0.17,1.0,0.04780114722753346,0.2905982905982906,0.9521988527724665,0.0,0.5239005736137667,0.9121349304540172,0.7404864542443303
0.03357160314917564,204,983,63,0,0.2136,0.17186183656276327,1.0,0.06022944550669216,0.293314162473041,0.9397705544933078,0.0,0.530114722753346,0.9121349304540172,0.7404864542443303
0.03536183908581734,203,972,74,1,0.2216,0.1727659574468085,0.9950980392156863,0.07074569789674952,0.2944162436548223,0.9292543021032504,0.004901960784313725,0.5329218685562179,0.9121349304540172,0.7404864542443303
0.03553242258727551,203,972,74,1,0.2216,0.1727659574468085,0.9950980392156863,0.07074569789674952,0.2944162436548223,0.9292543021032504,0.004901960784313725,0.5329218685562179,0.9121349304540172,0.7404864542443303
0.03903928950428963,202,960,86,2,0.2304,0.1738382099827883,0.9901960784313726,0.08221797323135756,0.2957540263543192,0.9177820267686424,0.00980392156862745,0.536207025831365,0.9121349304540172,0.7404864542443303
0.040201268158853054,202,956,90,2,0.2336,0.17443868739205526,0.9901960784313726,0.08604206500956023,0.2966226138032306,0.9139579349904398,0.00980392156862745,0.5381190717204664,0.9121349304540172,0.7404864542443303
0.04251253977417946,202,948,98,2,0.24,0.17565217391304347,0.9901960784313726,0.09369024856596558,0.2983751846381093,0.9063097514340345,0.00980392156862745,0.5419431634986691,0.9121349304540172,0.7404864542443303
0.04375395856797695,202,935,111,2,0.2504,0.17766051011433598,0.9901960784313726,0.10611854684512428,0.3012677106636838,0.8938814531548758,0.00980392156862745,0.5481573126382484,0.9121349304540172,0.7404864542443303
0.04504069723188878,202,927,119,2,0.2568,0.17891939769707707,0.9901960784313726,0.11376673040152964,0.3030757689422356,0.8862332695984704,0.00980392156862745,0.5519814044164512,0.9121349304540172,0.7404864542443303
0.045986158028244975,202,923,123,2,0.26,0.17955555555555555,0.9901960784313726,0.11759082217973231,0.30398796087283675,0.8824091778202677,0.00980392156862745,0.5538934503055525,0.9121349304540172,0.7404864542443303
0.048431463986635205,202,910,136,2,0.2704,0.18165467625899281,0.9901960784313726,0.13001912045889102,0.3069908814589666,0.869980879541109,0.00980392156862745,0.5601075994451318,0.9121349304540172,0.7404864542443303
0.04988012630492449,202,903,143,2,0.276,0.18280542986425338,0.9901960784313726,0.1367112810707457,0.30863254392666156,0.8632887189292543,0.00980392156862745,0.5634536797510592,0.9121349304540172,0.7404864542443303
0.05246410235762596,202,898,148,2,0.28,0.18363636363636363,0.9901960784313726,0.14149139579349904,0.3098159509202454,0.858508604206501,0.00980392156862745,0.5658437371124359,0.9121349304540172,0.7404864542443303
0.05471955537796021,202,886,160,2,0.2896,0.18566176470588236,0.9901960784313726,0.15296367112810708,0.31269349845201244,0.847036328871893,0.00980392156862745,0.5715798747797398,0.9121349304540172,0.7404864542443303
0.05476188544183969,202,885,161,2,0.2904,0.1858325666973321,0.9901960784313726,0.15391969407265774,0.3129357087529047,0.8460803059273423,0.00980392156862745,0.5720578862520151,0.9121349304540172,0.7404864542443303
0.057496694549918174,202,873,173,2,0.3,0.18790697674418605,0.9901960784313726,0.16539196940726578,0.3158717748240813,0.8346080305927343,0.00980392156862745,0.5777940239193192,0.9121349304540172,0.7404864542443303
0.059558984450995923,202,864,182,2,0.3072,0.1894934333958724,0.9901960784313726,0.1739961759082218,0.3181102362204724,0.8260038240917782,0.00980392156862745,0.5820961271697972,0.9121349304540172,0.7404864542443303
0.06103110313415527,202,860,186,2,0.3104,0.1902071563088512,0.9901960784313726,0.17782026768642448,0.31911532385466035,0.8221797323135756,0.00980392156862745,0.5840081730588985,0.9121349304540172,0.7404864542443303
0.06439841352403164,202,850,196,2,0.3184,0.1920152091254753,0.9901960784313726,0.18738049713193117,0.32165605095541405,0.8126195028680688,0.00980392156862745,0.5887882877816519,0.9121349304540172,0.7404864542443303
0.06674607843160629,202,848,198,2,0.32,0.19238095238095237,0.9901960784313726,0.18929254302103252,0.32216905901116427,0.8107074569789675,0.00980392156862745,0.5897443107262026,0.9121349304540172,0.7404864542443303
0.06923784259706736,202,838,208,2,0.328,0.19423076923076923,0.9901960784313726,0.1988527724665392,0.32475884244372993,0.8011472275334608,0.00980392156862745,0.5945244254489559,0.9121349304540172,0.7404864542443303
0.06962595336139202,202,835,211,2,0.3304,0.19479267116682739,0.9901960784313726,0.20172084130019122,0.32554391619661566,0.7982791586998088,0.00980392156862745,0.5959584598657819,0.9121349304540172,0.7404864542443303
0.07251319721341133,202,823,223,2,0.34,0.19707317073170733,0.9901960784313726,0.21319311663479923,0.3287225386493084,0.7868068833652008,0.00980392156862745,0.6016945975330859,0.9121349304540172,0.7404864542443303
0.07407727167010308,202,820,226,2,0.3424,0.19765166340508805,0.9901960784313726,0.21606118546845124,0.3295269168026101,0.7839388145315488,0.00980392156862745,0.603128631949912,0.9121349304540172,0.7404864542443303
0.07549533024430274,202,810,236,2,0.3504,0.19960474308300397,0.9901960784313726,0.22562141491395793,0.3322368421052632,0.7743785850860421,0.00980392156862745,0.6079087466726653,0.9121349304540172,0.7404864542443303
0.07891670074313879,202,799,247,2,0.3592,0.2017982017982018,0.9901960784313726,0.2361376673040153,0.33526970954356844,0.7638623326959847,0.00980392156862745,0.613166872867694,0.9121349304540172,0.7404864542443303
0.07935454398393631,202,798,248,2,0.36,0.202,0.9901960784313726,0.23709369024856597,0.3355481727574751,0.762906309751434,0.00980392156862745,0.6136448843399693,0.9121349304540172,0.7404864542443303
