epoch,train_loss,train_fly_loss,train_distance_loss,train_direction_loss,test_loss,fixed_accuracy,fixed_precision,fixed_recall,fixed_f1,fixed_false_positive_rate,lr
1,3.179714708143197,1.0437243464088937,2.0349279634235717,0.6229245593891689,2.7908531494140627,0.796,0.4452054794520548,0.5829596412556054,0.5048543689320387,0.15774099318403115,0.001
2,2.6230911500550764,0.903479955236443,1.600551237497694,0.570799928113064,2.5835699043273928,0.7416,0.3803827751196172,0.7130044843049327,0.49609984399375967,0.25219084712755596,0.001
3,2.4335864200952604,0.8584735935438774,1.4715757246827288,0.5327739002085085,2.3750728553771974,0.7552,0.3954659949622166,0.7040358744394619,0.5064516129032258,0.23369036027263876,0.001
4,2.296695990046398,0.8212185492454039,1.352779471831313,0.5333072481500695,2.2404552799224855,0.7896,0.44505494505494503,0.726457399103139,0.5519591141396932,0.1966893865628043,0.001
5,2.2177846786450757,0.7838551742144885,1.30224879853879,0.5236082929781757,2.1853792877197264,0.8416,0.5454545454545454,0.672645739910314,0.6024096385542168,0.12171372930866602,0.001
6,2.1159567126609677,0.7636304137515507,1.2446085111597438,0.4895329832833966,2.378837490463257,0.7552,0.40589569160997735,0.8026905829596412,0.5391566265060241,0.25511197663096397,0.001
7,2.119343715617599,0.7600863107021247,1.2450665602578619,0.4942340083922546,2.171117449951172,0.8664,0.6228070175438597,0.6367713004484304,0.6297117516629712,0.08373904576436222,0.001
8,2.0752847973860176,0.7490214482203177,1.2093627783424212,0.49141129609894146,2.2996033653259276,0.868,0.6318181818181818,0.6233183856502242,0.6275395033860045,0.07887049659201557,0.001
9,2.033713595155097,0.7317927581449822,1.1969302417898589,0.4708869823052135,2.2331339195251463,0.8184,0.49411764705882355,0.7533632286995515,0.5968028419182949,0.16747809152872445,0.001
10,2.0602672433442986,0.7473245292311789,1.1968743500172507,0.4897306400326448,2.1815262130737305,0.8352,0.528052805280528,0.7174887892376681,0.6083650190114068,0.13924050632911392,0.001
11,2.034619247133576,0.7376767399430776,1.1935345614330843,0.47224631942965123,2.183664123535156,0.8472,0.5547945205479452,0.726457399103139,0.6291262135922329,0.12658227848101267,0.001
12,1.9671061615343928,0.7104667179058447,1.1554177892186637,0.4564550104356332,2.2572288116455077,0.8096,0.47761194029850745,0.7174887892376681,0.5734767025089607,0.17039922103213243,0.0005
13,1.9234857616436007,0.7020416894085909,1.1286030079894458,0.4438619093790987,2.1808591865539553,0.844,0.548951048951049,0.7040358744394619,0.6168958742632613,0.12560856864654332,0.0005
14,1.897195309776143,0.6937549881909842,1.1112982295923028,0.439019585685936,2.199782586669922,0.8016,0.4659400544959128,0.7668161434977578,0.5796610169491526,0.19084712755598832,0.0005
15,1.8686650973674082,0.6886233639886413,1.1041369120295845,0.42021650561191337,2.171420560455322,0.8392,0.5366666666666666,0.7219730941704036,0.6156787762906308,0.13534566699123662,0.0005
16,1.865561947843556,0.6789115873616465,1.0983507233420522,0.4277554223849359,2.1769074031829834,0.8216,0.5,0.7399103139013453,0.596745027124774,0.16066212268743915,0.0005
17,1.8502755368273363,0.6762542480896845,1.0812060590337862,0.4309423582437969,2.1531640739440916,0.8408,0.5397350993377483,0.7309417040358744,0.620952380952381,0.13534566699123662,0.0005
18,1.836174291738345,0.6755323166202416,1.0720712809496866,0.42633684912808634,2.254668811035156,0.8368,0.531986531986532,0.7085201793721974,0.6076923076923078,0.13534566699123662,0.0005
19,1.7749909147140288,0.6623455033907535,1.049349773512003,0.3944683941060673,2.1879463745117187,0.8408,0.538961038961039,0.7443946188340808,0.6252354048964218,0.1382667964946446,0.0005
20,1.7713791153912164,0.6581627150420356,1.0502656192201498,0.39203215001296654,2.192359574127197,0.844,0.5469798657718121,0.7309417040358744,0.6257197696737045,0.1314508276533593,0.0005
21,1.748470406409239,0.6622086849468283,1.0229959902846353,0.3943700855417141,2.2065686515808105,0.832,0.5206349206349207,0.7354260089686099,0.6096654275092938,0.14703018500486856,0.0005
22,1.7580745357063967,0.662343331228306,1.0314164262136045,0.39548644736471783,2.3026005798339844,0.8312,0.5201342281879194,0.695067264573991,0.5950095969289828,0.13924050632911392,0.00025
23,1.6898249882439371,0.6255289748784995,0.9965702837933348,0.3804902124223673,2.2710375816345216,0.8528,0.5684210526315789,0.726457399103139,0.6377952755905513,0.11976630963972736,0.00025
24,1.6389162969675082,0.6206937287420863,0.9658101875559285,0.3627592431328063,2.2972835735321047,0.836,0.5296052631578947,0.7219730941704036,0.6110056925996205,0.13924050632911392,0.00025
25,1.6158844707524402,0.6096330578385841,0.9579469674490623,0.35312097056862546,2.348600102996826,0.8448,0.5523465703971119,0.6860986547085202,0.612,0.12074001947419669,0.00025
26,1.6106589223461452,0.6167128764288167,0.9598311954413588,0.34247129754940014,2.32937845993042,0.8328,0.5225806451612903,0.726457399103139,0.6078799249530956,0.14410905550146055,0.00025
27,1.5999681092806162,0.6070324334711474,0.9510555598563637,0.345396348052241,2.3185251686096193,0.8336,0.5244299674267101,0.7219730941704036,0.6075471698113208,0.14216163583252192,0.000125
