epoch,train_loss,test_delta_mse_norm,lr
1,0.8033031224452938,1.5092987338367965,0.001
2,0.5919525768951263,1.4323619874585576,0.001
3,0.48507719531417326,1.479615711030506,0.001
4,0.39830544538342944,1.3844176711822425,0.001
5,0.32331138864289016,1.3564535317300748,0.001
6,0.2754814500408234,1.4320926441865809,0.001
7,0.23602954372366994,1.3951604784369802,0.001
8,0.20617750962597545,1.4040213715796377,0.001
9,0.18484397382420897,1.5680317448634726,0.001
10,0.17255589031528512,1.4392441255371777,0.0005
11,0.1373284604242784,1.4670384276146982,0.0005
12,0.1224266212985742,1.445611529523919,0.0005
13,0.11316412101317334,1.3881628469258798,0.0005
14,0.10187314679539815,1.3912411013905073,0.0005
15,0.09908046789465247,1.4368513582801286,0.00025
16,0.09150204303786347,1.4041932391853225,0.00025
17,0.08392417841713848,1.402834949439981,0.00025
18,0.08315834320578532,1.396710508544238,0.00025
19,0.0776075547308974,1.448716670658742,0.00025
20,0.07779543493417973,1.4030131620519302,0.000125
21,0.07581086233404379,1.411698646438556,0.000125
22,0.07191151404128618,1.4127723180947183,0.000125
23,0.07072608902399097,1.4180603882177871,0.000125
24,0.06719284303409107,1.4066947124919305,0.000125
25,0.06664602565465604,1.4079842746424742,6.25e-05
26,0.06573533728034031,1.4022394388663668,6.25e-05
27,0.06457728897157454,1.4171660628973268,6.25e-05
28,0.06311679026907852,1.413978328758261,6.25e-05
29,0.066894490215442,1.416042491367885,6.25e-05
30,0.06333403832715712,1.4177487456164106,3.125e-05
31,0.06417625349220624,1.412769563391763,3.125e-05
32,0.06248261274351864,1.4199448978199678,3.125e-05
33,0.06302263474670669,1.4248999459402902,3.125e-05
34,0.06373027495206922,1.423690506323379,3.125e-05
35,0.06297745909275679,1.4173029560334875,1.5625e-05
