setup_fly_threshold_km,model,model_family,kind,k,n_layers,params,best_epoch,best_test_loss,final_delta_mse_norm,train_samples,test_samples,train_fly_rate,test_fly_rate,runtime_seconds,mean_error_km,median_error_km,p90_error_km,p95_error_km,stationary_error_mean_km,fly_error_mean_km,migration50_error_mean_km,setup,test,runtime_seconds_final_runner,feature_mode,final_test_loss,raw_pos_weight,pos_weight,gated_mean_error_km,gated_median_error_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,gated_fly_error_mean_km,gated_migration50_error_mean_km,fly_threshold,fly_tp,fly_fp,fly_tn,fly_fn,fly_accuracy,fly_precision,fly_recall,fly_specificity,fly_f1,fly_false_positive_rate,fly_roc_auc,fly_pr_auc,fixed_0_5_fly_threshold,fixed_0_5_fly_tp,fixed_0_5_fly_fp,fixed_0_5_fly_tn,fixed_0_5_fly_fn,fixed_0_5_fly_accuracy,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_specificity,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_roc_auc,fixed_0_5_fly_pr_auc
10.0,direct_mlp_sequence_k7,direct,direct_mlp_sequence,7,0,17730,11,1.3650279020415448,1.3650279020415448,9419,2897,0.1900414079427719,0.22229893505573273,6.296476125717163,19.211187073295235,4.472647689511307,62.18226065811676,100.78611329902802,6.565452451834402,63.45162201452388,85.78897502405857,fly_threshold_10km,without_weather,6.299983501434326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,direct_transformer_4l_k7,direct,direct_transformer,7,4,804034,13,1.333248000166356,1.333248000166356,9419,2897,0.1900414079427719,0.22229893505573273,27.52942204475403,17.651048534939996,2.4655077283308318,58.413614730684735,99.97119869800042,4.897925441689789,62.26717637514607,86.79626783558666,fly_threshold_10km,without_weather,27.535935401916504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,triline_lstm_4l_k7,triline,triline_lstm,7,4,2159300,9,2.1296389740748696,,9419,2897,0.1900414079427719,0.22229893505573273,19.36057758331299,18.1901817292046,2.2639540284081576,63.058518622492365,105.84594818319077,4.382459154996725,66.49577017592873,93.37696612807154,fly_threshold_10km,without_weather,19.36759042739868,full,2.1296389740748696,4.262011173184358,4.262011173184358,17.768368058336204,1.5884737937203552,63.244840110129616,105.93842170194254,3.7791286751273323,66.70898347816474,93.50049797764012,0.6657372767478227,466,170,2083,178,0.8798757335174319,0.7327044025157232,0.7236024844720497,0.9245450510430537,0.728125,0.0754549489569463,0.8987116556806245,0.7807417471617641,0.5,511,305,1948,133,0.8488091128753883,0.6262254901960784,0.7934782608695652,0.8646249445184199,0.7,0.1353750554815801,0.8987116556806245,0.7807417471617641
10.0,triline_transformer_v2_k7,triline,triline_transformer,7,4,3289412,23,2.085530396531605,,9419,2897,0.1900414079427719,0.22229893505573273,44.23911166191101,18.17740766334374,2.555595394171184,62.393471213188924,102.52640107648129,4.771666186538301,65.07668646340997,91.61254733902507,fly_threshold_10km,without_weather,44.251123666763306,full,2.085530396531605,4.262011173184358,4.262011173184358,17.57745704646639,1.5214389141209446,62.75183439903117,102.52640107648129,3.889955874032637,65.4624572661764,91.83901051576593,0.6992867100983857,448,148,2105,196,0.8812564722126338,0.7516778523489933,0.6956521739130435,0.9343098091433644,0.7225806451612904,0.06569019085663559,0.897848417431003,0.7789150033086731,0.5,520,381,1872,124,0.825681739730756,0.5771365149833518,0.8074534161490683,0.8308921438082557,0.6731391585760518,0.16910785619174434,0.897848417431003,0.7789150033086731
10.0,direct_mlp_sequence_k14,direct,direct_mlp_sequence,14,0,26690,8,1.5451364206390146,1.5451364206390146,8611,2608,0.18731854856014252,0.22546012699604034,5.432623624801636,20.63190937692093,5.142747755000273,64.67127501527497,102.20484851569094,7.446050322387712,65.9302687139228,89.0867345692156,fly_threshold_10km,without_weather,5.436127185821533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,direct_transformer_4l_k14,direct,direct_transformer,14,4,804930,11,1.3990364162925562,1.3990364162925562,8611,2608,0.18731854856014252,0.22546012699604034,21.214845418930054,19.179712783680763,3.687428451446144,62.64448931246732,97.03792475825622,6.532668953805789,62.62704022644853,82.48483416719802,fly_threshold_10km,without_weather,21.22034788131714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,triline_lstm_4l_k14,triline,triline_lstm,14,4,2159300,8,2.1076334992800754,,8611,2608,0.18731854856014252,0.22546012699604034,20.579095602035522,18.850677880868627,2.4856710335941017,62.28567395320488,104.94646749188331,4.214585628807962,69.13113085563486,97.29167012027936,fly_threshold_10km,without_weather,20.584598302841187,full,2.1076334992800754,4.338499690018599,4.338499690018599,18.305875669334355,1.650270131771188,62.2890646990318,104.94646749188331,3.4498555729062566,69.3418630754309,97.41114696401479,0.6495372504740953,430,153,1867,158,0.8807515337423313,0.7375643224699828,0.7312925170068028,0.9242574257425743,0.7344150298889838,0.07574257425742574,0.9012132080554996,0.7975668393553491,0.5,464,243,1777,124,0.8592791411042945,0.6562942008486563,0.7891156462585034,0.8797029702970297,0.7166023166023167,0.12029702970297029,0.9012132080554996,0.7975668393553491
10.0,triline_transformer_v2_k14,triline,triline_transformer,14,4,3291204,28,2.0935519092653427,,8611,2608,0.18731854856014252,0.22546012699604034,42.995506286621094,18.655747025117375,2.5361192035200792,56.663066458766146,108.81460235239894,3.847892561590993,69.52626746104134,100.48231842712813,fly_threshold_10km,without_weather,43.003520250320435,full,2.0935519092653427,4.338499690018599,4.338499690018599,18.10617996579851,1.644674931305924,56.663066458766146,108.89798858999588,3.04551319775301,69.84520525738341,100.6985607619272,0.6896718618052545,434,160,1860,154,0.879601226993865,0.7306397306397306,0.7380952380952381,0.9207920792079208,0.7343485617597294,0.07920792079207921,0.8987118609820165,0.7863589484646702,0.5,474,316,1704,114,0.8351226993865031,0.6,0.8061224489795918,0.8435643564356435,0.6879535558780842,0.15643564356435644,0.8987118609820165,0.7863589484646702
10.0,direct_mlp_sequence_k30,direct,direct_mlp_sequence,30,0,47170,4,1.61259633844549,1.61259633844549,6899,2024,0.1759675294160843,0.2139328122138977,3.5894038677215576,20.83601557507519,5.748009282844404,62.48161408082874,96.59368135779081,9.286491475857556,63.27318149160004,85.34686877456669,fly_threshold_10km,without_weather,3.5929036140441895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,direct_transformer_4l_k30,direct,direct_transformer,30,4,806978,11,1.4143613581600867,1.4143613581600867,6899,2024,0.1759675294160843,0.2139328122138977,16.65961503982544,18.2161647467666,4.349212852038631,57.92957323310934,94.69046844841547,7.148723385312961,58.88198277464823,81.34893050280944,fly_threshold_10km,without_weather,16.665629386901855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,triline_lstm_4l_k30,triline,triline_lstm,30,4,2159300,7,2.1658574300321196,,6899,2024,0.1759675294160843,0.2139328122138977,21.775983333587646,17.05525938907838,2.4537227518971547,49.659133974720966,92.21532694819089,4.151211534095609,64.46943984468483,96.95374554389511,fly_threshold_10km,without_weather,21.783503770828247,full,2.1658574300321196,4.682866556836903,4.682866556836903,16.5131125210184,1.7340581213495487,50.49872515928249,92.58823564804166,3.380116760569066,64.76853112350081,97.21742346314599,0.6975325816869739,304,121,1470,129,0.8764822134387352,0.7152941176470589,0.7020785219399538,0.9239472030169704,0.7086247086247087,0.07605279698302954,0.8905694996247656,0.7696350589430572,0.5,349,241,1350,84,0.8394268774703557,0.5915254237288136,0.8060046189376443,0.8485229415461973,0.6823069403714564,0.15147705845380263,0.8905694996247656,0.7696350589430572
10.0,triline_transformer_v2_k30,triline,triline_transformer,30,4,3295300,15,2.240567471670068,,6899,2024,0.1759675294160843,0.2139328122138977,28.71727466583252,17.19747922714573,2.273914078274583,49.34330277284027,97.06896724635345,3.893496236989543,66.08116730413995,99.65010630015085,fly_threshold_10km,without_weather,28.728287935256958,full,2.240567471670068,4.682866556836903,4.682866556836903,16.760109755057456,1.8897606739527293,49.493288718033256,97.4464569661694,3.2821495762399584,66.2830535067864,99.77724298800901,0.5691175347566605,311,148,1443,122,0.866600790513834,0.6775599128540305,0.7182448036951501,0.9069767441860465,0.6973094170403588,0.09302325581395349,0.8829907838984588,0.7561597108979549,0.5,321,187,1404,112,0.8522727272727273,0.6318897637795275,0.7413394919168591,0.8824638592080453,0.6822529224229543,0.11753614079195475,0.8829907838984588,0.7561597108979549
