epoch,train_loss,test_delta_mse_norm,lr
1,0.7100395358920436,1.3581525133801746,0.001
2,0.5901747998719867,1.3198393792301029,0.001
3,0.5549345025070499,1.2966550600219082,0.001
4,0.5229549742040235,1.2779019134385246,0.001
5,0.5062926315796651,1.2910397687515656,0.001
6,0.4779780295095548,1.3401625226070355,0.001
7,0.4645784211942833,1.338731733622489,0.001
8,0.4481464571527867,1.3241343370505743,0.001
9,0.43321382297619637,1.4050791824792888,0.0005
10,0.39522601881261477,1.3348959409571313,0.0005
11,0.38503618238904447,1.3612406830508987,0.0005
12,0.3786184973848384,1.32778876381261,0.0005
13,0.3663475387134157,1.3777999680537683,0.0005
14,0.3617694793292482,1.4030911814082752,0.00025
15,0.3471430453872274,1.3992849932862568,0.00025
16,0.3394364569543389,1.398831706735995,0.00025
17,0.33044065380793397,1.435557063523825,0.00025
18,0.33075151750095677,1.4470090831254985,0.00025
19,0.3206990073112468,1.4032937303766029,0.000125
20,0.31641517229260246,1.4070103886452587,0.000125
21,0.31813517849328216,1.4427327420804408,0.000125
22,0.31213920869287126,1.412952103785106,0.000125
23,0.31109814516446765,1.4350536121176434,0.000125
24,0.31155386558645776,1.435944720909193,6.25e-05
